id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,ctx,board_family,opener,caller,preflop_label,size_config,doc,note
E0001,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ks7d2c,flop_cbet_def_small,dry_high,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dry_high BTNvBB MTT_200bb
E0002,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Qh8d3s,flop_cbet_def_small,dry_high,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dry_high BTNvBB MTT_200bb
E0003,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts9d7c,flop_cbet_def_small,dynamic,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic BTNvBB MTT_200bb
E0004,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9h8d6c,flop_cbet_def_small,dynamic,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic BTNvBB MTT_200bb
E0005,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts9s8d,flop_cbet_def_small,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic_2tone BTNvBB MTT_200bb
E0006,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9s8s6d,flop_cbet_def_small,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic_2tone BTNvBB MTT_200bb
E0007,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,8s5h2c,flop_cbet_def_small,low_dry,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small low_dry BTNvBB MTT_200bb
E0008,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9c6d4s,flop_cbet_def_small,low_dry,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small low_dry BTNvBB MTT_200bb
E0009,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,KsQsJs,flop_cbet_def_small,monotone,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small monotone BTNvBB MTT_200bb
E0010,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts8s5s,flop_cbet_def_small,monotone,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small monotone BTNvBB MTT_200bb
