spot_id,topic,source_path,board_correct,pot_start,pot_end,pot_now,pot_odds,bet_size_chips,bet_size_pot_ratio,hero_stack_bb
preflop_study_SB_RFI_25,findings,vol3-mtt-postflop/findings/preflop_study_SB_RFI_25.json,,,,,,,,
preflop_study_CO_RFI_20,findings,vol3-mtt-postflop/findings/preflop_study_CO_RFI_20.json,,,,,,,,
preflop_study_LJ_RFI_30,findings,vol3-mtt-postflop/findings/preflop_study_LJ_RFI_30.json,,,,,,,,
mtt_preflop_gto_SBR20_multiway,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_multiway.json,,,,,,,,
preflop_study_SB_RFI_15,findings,vol3-mtt-postflop/findings/preflop_study_SB_RFI_15.json,,,,,,,,
mtt_preflop_gto_SBR40_vs_3bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_vs_3bet.json,,,,,,,,
preflop_study_BTN_RFI_30,findings,vol3-mtt-postflop/findings/preflop_study_BTN_RFI_30.json,,,,,,,,
mtt_preflop_gto_SBR20_rfi,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_rfi.json,,,,,,,,
mtt_sb_bb_SBR25,findings,vol3-mtt-postflop/findings/mtt_sb_bb_SBR25.json,,,,,,,,
mtt_preflop_gto_SBR25_vs_open,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_vs_open.json,,,,,,,,
mtt_preflop_gto_SBR40_vs_open,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_vs_open.json,,,,,,,,
mtt_preflop_probe_SBR25,findings,vol3-mtt-postflop/findings/mtt_preflop_probe_SBR25.json,,2.5,2.5,2.5,0.286,1.0,0.4,25.125
mtt_check_raise_SBR20,findings,vol3-mtt-postflop/findings/mtt_check_raise_SBR20.json,,,,,,,,
preflop_study_HJ_RFI_30,findings,vol3-mtt-postflop/findings/preflop_study_HJ_RFI_30.json,,,,,,,,
mtt_preflop_gto_SBR40_vs_5bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_vs_5bet.json,,,,,,,,
mtt_preflop_gto_SBR40_multiway,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_multiway.json,,,,,,,,
preflop_study_SB_def_BTN_25,findings,vol3-mtt-postflop/findings/preflop_study_SB_def_BTN_25.json,,,,,,,,
preflop_study_CO_RFI_15,findings,vol3-mtt-postflop/findings/preflop_study_CO_RFI_15.json,,,,,,,,
mtt_turn_barrel_SBR25,findings,vol3-mtt-postflop/findings/mtt_turn_barrel_SBR25.json,,,,,,,,
preflop_study_BTN_RFI_20,findings,vol3-mtt-postflop/findings/preflop_study_BTN_RFI_20.json,,,,,,,,
preflop_study_SB_RFI_30,findings,vol3-mtt-postflop/findings/preflop_study_SB_RFI_30.json,,,,,,,,
preflop_study_BB_def_BTN_20,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_BTN_20.json,,,,,,,,
diagnose_Ks7d2c_25,findings,vol3-mtt-postflop/findings/diagnose_Ks7d2c_25.json,Ks7d2c,5.7,5.7,5.7,,0.0,,25.125
preflop_study_SB_RFI_200,findings,vol3-mtt-postflop/findings/preflop_study_SB_RFI_200.json,,,,,,,,
mtt_preflop_gto_SBR40_all,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_all.json,,,,,,,,
mtt_turn_barrel_SBR20,findings,vol3-mtt-postflop/findings/mtt_turn_barrel_SBR20.json,,,,,,,,
mtt_preflop_gto_SBR25_vs_3bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_vs_3bet.json,,,,,,,,
preflop_study_HJ_RFI_15,findings,vol3-mtt-postflop/findings/preflop_study_HJ_RFI_15.json,,,,,,,,
mtt_flop_cbet_SBR25_BTN_BB,findings,vol3-mtt-postflop/findings/mtt_flop_cbet_SBR25_BTN_BB.json,,,,,,,,
mtt_preflop_gto_SBR25_vs_5bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_vs_5bet.json,,,,,,,,
preflop_study_CO_RFI_200,findings,vol3-mtt-postflop/findings/preflop_study_CO_RFI_200.json,,,,,,,,
preflop_study_BB_def_BTN_200,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_BTN_200.json,,,,,,,,
preflop_hand_map,findings,vol3-mtt-postflop/findings/preflop_hand_map.json,,,,,,,,
preflop_study_SB_RFI_20,findings,vol3-mtt-postflop/findings/preflop_study_SB_RFI_20.json,,,,,,,,
preflop_study_BTN_RFI_15,findings,vol3-mtt-postflop/findings/preflop_study_BTN_RFI_15.json,,,,,,,,
mtt_preflop_gto_SBR25_vs_4bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_vs_4bet.json,,,,,,,,
mtt_preflop_gto_SBR20_vs_open,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_vs_open.json,,,,,,,,
preflop_study_SB_def_BTN_200,findings,vol3-mtt-postflop/findings/preflop_study_SB_def_BTN_200.json,,,,,,,,
preflop_study_HJ_RFI_200,findings,vol3-mtt-postflop/findings/preflop_study_HJ_RFI_200.json,,,,,,,,
mtt_preflop_gto_SBR15_rfi,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR15_rfi.json,,,,,,,,
mtt_preflop_gto_SBR20_vs_3bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_vs_3bet.json,,,,,,,,
preflop_study_CO_RFI_30,findings,vol3-mtt-postflop/findings/preflop_study_CO_RFI_30.json,,,,,,,,
preflop_study_BTN_RFI_200,findings,vol3-mtt-postflop/findings/preflop_study_BTN_RFI_200.json,,,,,,,,
preflop_study_BTN_RFI_25,findings,vol3-mtt-postflop/findings/preflop_study_BTN_RFI_25.json,,,,,,,,
preflop_study_BB_def_BTN_30,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_BTN_30.json,,,,,,,,
mtt_preflop_gto_SBR20_vs_4bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_vs_4bet.json,,,,,,,,
preflop_study_BB_def_BTN_15,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_BTN_15.json,,,,,,,,
preflop_study_BB_def_BTN_25,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_BTN_25.json,,,,,,,,
mtt_preflop_gto_SBR25_multiway,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_multiway.json,,,,,,,,
preflop_study_LJ_RFI_15,findings,vol3-mtt-postflop/findings/preflop_study_LJ_RFI_15.json,,,,,,,,
mtt_preflop_gto_SBR25_rfi,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR25_rfi.json,,,,,,,,
mtt_check_raise_SBR25,findings,vol3-mtt-postflop/findings/mtt_check_raise_SBR25.json,,,,,,,,
preflop_study_HJ_RFI_20,findings,vol3-mtt-postflop/findings/preflop_study_HJ_RFI_20.json,,,,,,,,
preflop_study_BB_def_HJ_200,findings,vol3-mtt-postflop/findings/preflop_study_BB_def_HJ_200.json,,,,,,,,
mtt_preflop_probe_SBR40,findings,vol3-mtt-postflop/findings/mtt_preflop_probe_SBR40.json,,2.5,2.5,2.5,0.286,0.0,,40.125
preflop_study_CO_RFI_25,findings,vol3-mtt-postflop/findings/preflop_study_CO_RFI_25.json,,,,,,,,
preflop_study_LJ_RFI_25,findings,vol3-mtt-postflop/findings/preflop_study_LJ_RFI_25.json,,,,,,,,
mtt_preflop_gto_SBR40_vs_4bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR40_vs_4bet.json,,,,,,,,
mtt_sb_bb_SBR20,findings,vol3-mtt-postflop/findings/mtt_sb_bb_SBR20.json,,,,,,,,
preflop_study_LJ_RFI_20,findings,vol3-mtt-postflop/findings/preflop_study_LJ_RFI_20.json,,,,,,,,
preflop_study_HJ_RFI_25,findings,vol3-mtt-postflop/findings/preflop_study_HJ_RFI_25.json,,,,,,,,
mtt_preflop_probe_SBR20,findings,vol3-mtt-postflop/findings/mtt_preflop_probe_SBR20.json,,2.5,2.5,2.5,0.286,1.0,0.4,20.125
preflop_study_SB_def_BTN_20,findings,vol3-mtt-postflop/findings/preflop_study_SB_def_BTN_20.json,,,,,,,,
mtt_preflop_gto_SBR20_vs_5bet,findings,vol3-mtt-postflop/findings/mtt_preflop_gto_SBR20_vs_5bet.json,,,,,,,,
mtt_flop_cbet_SBR20_BTN_BB,findings,vol3-mtt-postflop/findings/mtt_flop_cbet_SBR20_BTN_BB.json,,,,,,,,
preflop_study_LJ_RFI_200,findings,vol3-mtt-postflop/findings/preflop_study_LJ_RFI_200.json,,,,,,,,
K72_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/K72_fd.json,Kd7c2d,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
765_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/765_rain.json,7h6d5s,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
742_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/742_rain.json,7h4d2s,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
Q83_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/Q83_rain.json,Qh8d3s,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
T98_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/T98_fd.json,Td9s8d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
A94_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/A94_fd.json,Ad9c4d,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
KJT_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/KJT_rain.json,KhJdTs,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
K72_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/K72_rain.json,Ks7d2c,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
T74_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/T74_rain.json,Th7d4s,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
K98_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/K98_fd.json,Kd9c8d,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
765_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/765_fd.json,7d6c5d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
T74_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/T74_fd.json,Td7c4d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
J73_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/J73_rain.json,Jh7d3s,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
Q83_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/Q83_fd.json,Qd8c3d,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
KK8_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/KK8_rain.json,KhKd8c,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
AA7_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/AA7_rain.json,AhAd7c,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
J73_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/J73_fd.json,Jd7c3d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
742_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/742_fd.json,7d4c2d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
KJT_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/KJT_fd.json,KdJcTd,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
T98_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/T98_rain.json,Th9s8d,5.45,8.45,8.45,0.27,3.0,0.5504587155963303,25.125
A94_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/A94_rain.json,Ah9d4s,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
A72_fd,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/A72_fd.json,Ad7c2d,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
A72_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/A72_rain.json,Ah7d2s,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
K98_rain,def_mtt25_bb_raw,vol3-mtt-postflop/findings/def_mtt25_bb_raw/K98_rain.json,Kd9s8c,5.45,6.55,6.55,0.158,1.1,0.2018348623853211,25.125
K72r_7,turn_mtt100_btn_raw,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_7.json,Ks7d2c7h,10.45,10.45,10.45,,0.0,,100.125
