equity_bucket,mv_simple,board_family,dv_cat,median,count,q25,q75,iqr,pred_3,confidence
best_hands,2P_plus,dry_high,flush_draw,0.2903,43,0.0014,0.98915,0.98775,MIX,LOW
best_hands,2P_plus,dry_high,no_draw,0.4809,6462,0.007,0.95125,0.94425,MIX,LOW
best_hands,2P_plus,dry_high,twocards_bdfd,0.8982,126,0.5326500000000001,0.9992,0.4665499999999999,HIGH,LOW
best_hands,2P_plus,dynamic,flush_draw,0.4233,98,0.002125,0.9537749999999999,0.9516499999999999,MIX,LOW
best_hands,2P_plus,dynamic,gutshot,0.8474,161,0.0016,0.9048,0.9032,HIGH,LOW
best_hands,2P_plus,dynamic,no_draw,0.57035,5820,0.0121,0.9264,0.9143,MIX,LOW
best_hands,2P_plus,dynamic,oesd,0.4345,112,0.0003,0.71635,0.7160500000000001,MIX,LOW
best_hands,2P_plus,dynamic,twocards_bdfd,0.87035,278,0.597925,0.9921,0.39417499999999994,HIGH,LOW
best_hands,2P_plus,dynamic_2tone,no_draw,0.6874,95,0.6002,0.7603,0.16010000000000002,MIX,MED
best_hands,2P_plus,dynamic_2tone,onecard_bdfd,0.86545,40,0.7272,0.912,0.18480000000000008,HIGH,MED
best_hands,2P_plus,low_dry,no_draw,0.5529,104,0.32130000000000003,0.978625,0.6573249999999999,MIX,LOW
best_hands,2P_plus,monotone,no_draw,0.2006,1277,0.0008,0.6038,0.603,LOW,LOW
best_hands,2P_plus,paired,no_draw,0.8549,1063,0.0082,0.9758,0.9676,HIGH,LOW
best_hands,2P_plus,paired,twocards_bdfd,0.8847,197,0.6359,0.9809,0.345,HIGH,LOW
best_hands,ace_high,dry_high,nut_flush_draw,0.6242,53,0.5126,0.7538,0.24120000000000008,MIX,MED
best_hands,no_made,dry_high,oesd,0.6883,101,0.593,0.9041,0.31110000000000004,MIX,LOW
best_hands,overpair,dry_high,no_draw,0.9644,561,0.7512,0.9996,0.24840000000000007,HIGH,MED
best_hands,overpair,dry_high,onecard_bdfd,0.6365,39,0.32375,0.7558,0.43205000000000005,MIX,LOW
best_hands,overpair,dynamic,gutshot,0.93955,52,0.487325,0.9964,0.5090749999999999,HIGH,LOW
best_hands,overpair,dynamic,no_draw,0.642,301,0.387,0.9169,0.5299,MIX,LOW
best_hands,overpair,dynamic,oesd,0.9818,59,0.9221999999999999,0.9989,0.0767000000000001,HIGH,HIGH
best_hands,overpair,low_dry,no_draw,0.7956,162,0.644525,0.9999,0.355375,HIGH,LOW
best_hands,overpair,monotone,nut_flush_draw,0.6433500000000001,30,0.5878,0.7144,0.12660000000000005,MIX,MED
best_hands,overpair,paired,no_draw,0.6689,246,0.466,0.8601,0.39409999999999995,MIX,LOW
best_hands,second_pair,dry_high,no_draw,0.1159,33,0.0423,0.2768,0.2345,LOW,MED
best_hands,second_pair,dynamic,no_draw,0.9992,140,0.996,0.9993,0.0032999999999999696,HIGH,HIGH
best_hands,second_pair,monotone,nut_flush_draw,0.3764,38,0.3218,0.4559,0.13410000000000005,MIX,MED
best_hands,top_pair,dry_high,flush_draw,0.0398,101,0.0049,0.4162,0.4113,LOW,LOW
best_hands,top_pair,dry_high,gutshot,0.4368,169,0.012,0.6943,0.6823,MIX,LOW
best_hands,top_pair,dry_high,no_draw,0.548,5589,0.1589,0.8137,0.6547999999999999,MIX,LOW
best_hands,top_pair,dry_high,onecard_bdfd,0.4434,74,0.289725,0.67345,0.383725,MIX,LOW
best_hands,top_pair,dry_high,twocards_bdfd,0.8343499999999999,910,0.46125,0.96725,0.506,HIGH,LOW
best_hands,top_pair,dynamic,gutshot,0.9246,157,0.767,0.9974,0.23039999999999994,HIGH,MED
best_hands,top_pair,dynamic,no_draw,0.90325,354,0.38437499999999997,0.9992,0.614825,HIGH,LOW
best_hands,top_pair,dynamic,oesd,0.6106,89,0.0932,0.9178,0.8246,MIX,LOW
best_hands,top_pair,low_dry,no_draw,0.6008,156,0.331125,0.774575,0.44345,MIX,LOW
best_hands,top_pair,low_dry,twocards_bdfd,0.7036,58,0.46065,0.8699749999999999,0.40932499999999994,MIX,LOW
best_hands,top_pair,monotone,flush_draw,0.2891,71,0.047,0.3929,0.34590000000000004,MIX,LOW
best_hands,top_pair,monotone,no_draw,0.28259999999999996,32,0.0515,0.36164999999999997,0.31015,MIX,LOW
best_hands,top_pair,monotone,nut_flush_draw,0.858,47,0.7055,0.9119999999999999,0.2064999999999999,HIGH,MED
best_hands,weak_pair,paired,no_draw,0.9361,89,0.8621,0.9992,0.1371,HIGH,MED
good_hands,2P_plus,dry_high,no_draw,0.127,569,0.0008,0.8709,0.8701,LOW,LOW
good_hands,2P_plus,dynamic,no_draw,0.14865,2584,0.0004,0.7089,0.7085,LOW,LOW
good_hands,2P_plus,dynamic,twocards_bdfd,0.49795,70,0.106725,0.8817999999999999,0.775075,MIX,LOW
good_hands,2P_plus,dynamic_2tone,no_draw,0.4745,82,0.376475,0.5957,0.219225,MIX,MED
good_hands,2P_plus,monotone,no_draw,0.0003,559,0.0002,0.006,0.0058000000000000005,LOW,HIGH
good_hands,2P_plus,paired,no_draw,0.0005,299,0.0003,0.0017,0.0014,LOW,HIGH
good_hands,ace_high,dry_high,combo_draw,0.00645,64,0.001625,0.8438749999999999,0.8422499999999999,LOW,LOW
good_hands,ace_high,dry_high,gutshot,0.68955,388,0.529625,0.835575,0.30594999999999994,MIX,LOW
good_hands,ace_high,dry_high,no_draw,0.882,66,0.8313999999999999,0.89485,0.06345000000000012,HIGH,HIGH
good_hands,ace_high,dry_high,nut_flush_draw,0.53945,32,0.00085,0.99825,0.9974,MIX,LOW
good_hands,ace_high,dry_high,onecard_bdfd,0.3777,30,0.2541,0.4857,0.23160000000000003,MIX,MED
good_hands,ace_high,dry_high,twocards_bdfd,0.7217,49,0.5071,0.9159,0.40880000000000005,MIX,LOW
good_hands,ace_high,dynamic,gutshot,0.53285,370,0.312375,0.7574749999999999,0.4450999999999999,MIX,LOW
good_hands,ace_high,dynamic,no_draw,0.6831,76,0.51695,0.739825,0.22287499999999993,MIX,MED
good_hands,ace_high,dynamic,oesd,0.3956,265,0.247,0.6888,0.44179999999999997,MIX,LOW
good_hands,ace_high,dynamic,twocards_bdfd,0.2745,63,0.03695,0.66195,0.625,MIX,LOW
good_hands,ace_high,dynamic_2tone,oesd,0.7427,55,0.506,0.7752,0.2692,MIX,MED
good_hands,ace_high,low_dry,gutshot,0.5717,71,0.4839,0.7555499999999999,0.27164999999999995,MIX,MED
good_hands,ace_high,low_dry,twocards_bdfd,0.0725,48,0.0056,0.4761,0.47050000000000003,LOW,LOW
good_hands,ace_high,monotone,combo_draw,0.3767,157,0.0018,0.5713,0.5695,MIX,LOW
good_hands,ace_high,monotone,flush_draw,0.2741,79,0.0015,0.4407,0.4392,MIX,LOW
good_hands,ace_high,monotone,nut_flush_draw,0.4143,268,0.0024,0.7354,0.7330000000000001,MIX,LOW
good_hands,ace_high,paired,gutshot,0.7848,64,0.59965,0.8328,0.23314999999999997,HIGH,MED
good_hands,ace_high,paired,no_draw,0.5983,539,0.40335,0.7911,0.38775000000000004,MIX,LOW
good_hands,ace_high,paired,twocards_bdfd,0.6187,216,0.3528,0.874875,0.522075,MIX,LOW
good_hands,king_high,dry_high,combo_draw,0.0262,35,0.00385,0.8171999999999999,0.8133499999999999,LOW,LOW
good_hands,king_high,dry_high,gutshot,0.7201500000000001,60,0.5845750000000001,0.805775,0.22119999999999995,MIX,MED
good_hands,king_high,dry_high,oesd,0.70635,30,0.67055,0.817425,0.14687499999999998,MIX,MED
good_hands,king_high,dynamic,combo_draw,0.866,31,0.0144,0.9742500000000001,0.9598500000000001,HIGH,LOW
good_hands,king_high,dynamic,gutshot,0.92245,66,0.744775,0.95245,0.20767500000000005,HIGH,MED
good_hands,king_high,dynamic,oesd,0.725,177,0.4551,0.8979,0.4428,MIX,LOW
good_hands,king_high,dynamic_2tone,combo_draw,0.68545,30,0.5182,0.7761,0.2579,MIX,MED
good_hands,king_high,dynamic_2tone,oesd,0.7875,30,0.67015,0.8420749999999999,0.17192499999999988,HIGH,MED
good_hands,king_high,monotone,combo_draw,0.3194,81,0.0018,0.6867,0.6849,MIX,LOW
good_hands,king_high,monotone,flush_draw,0.6255,90,0.1169,0.8448,0.7279,MIX,LOW
good_hands,no_made,dry_high,combo_draw,0.048,55,0.0089,0.4652,0.4563,LOW,LOW
good_hands,no_made,dry_high,flush_draw,0.6715,77,0.4988,0.8405,0.3417,MIX,LOW
good_hands,no_made,dry_high,gutshot,0.83075,316,0.6215,0.9471,0.3256,HIGH,LOW
good_hands,no_made,dry_high,oesd,0.6298,481,0.4039,0.8018,0.3979,MIX,LOW
good_hands,no_made,dynamic,combo_draw,0.6635,65,0.0348,0.9774,0.9426000000000001,MIX,LOW
good_hands,no_made,dynamic,gutshot,0.6956,159,0.5662,0.86155,0.29535,MIX,MED
good_hands,no_made,dynamic,oesd,0.6524,410,0.460625,0.85385,0.393225,MIX,LOW
good_hands,no_made,dynamic_2tone,combo_draw,0.67535,38,0.37875000000000003,0.807475,0.428725,MIX,LOW
good_hands,no_made,low_dry,gutshot,0.67815,64,0.48672499999999996,0.7978,0.311075,MIX,LOW
