pred,actual,ctx,topic,bucket,mv,board_family,street,hero_rel
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
CHECK,BET,attack,3bp_turn_XX,trash_hands,second_pair,dry_high,turn,OOP
CHECK,BET,attack,3bp_turn_XX,good_hands,set,dry_high,turn,OOP
CHECK,BET,attack,3bp_turn_XX,trash_hands,underpair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,underpair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,no_made_hand,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,two_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,two_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,best_hands,set,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,two_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
CHECK,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,low_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,top_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,overpair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,third_pair,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,second_pair,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,CHECK,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
BET,BET,attack,3bp_turn_XX,trash_hands,ace_high,dry_high,turn,OOP
