board,holding,hand_score,category,action,correct_decision,pot_size
4s4h3h,AcKc,49,Aハイ+2OC,bet,Bet 2,5
9dTs8s,Kh9c,43,セカンドペア(強)+BDSD,check,Check,5
Ad8d3d,KsTc,25,Kハイ+BDFD,check,Check,5
Js8d3c,7h7c,35,アンダーペア(低),check,Check,5
5c5dAh,KhQs,22,Kハイ+BDSD,check,Check,5
Jh4h5s,KsTs,25,Kハイ+BDFD,check,Check,5
Ad8d3d,Ah5s,50,TPWK+BDFD,check,Check,5
Ad9h8h,Ah7s,49,TPWK+BDFD+BDSD,check,Check,5
Ad9h8h,Ks5s,20,Kハイ,check,Check,5
Ks7h2d,AhQd,27,Aハイ+BDSD,bet,Bet 2,5
9s7s4c,AcQd,49,Aハイ+2OC,check,Check,5
4s4h3h,As2s,73,Aハイ+BDFD+GS,check,Check,5
Ad9h8h,AcKh,75,TPTK+BDFD,bet,Bet 4,5
8h8cTc,Ts9d,79,2ペア(top2)+BDSD,bet,Bet 2,5
JsKs5d,Qs9s,63,Qハイ+FD+GS,bet,Bet 4,5
Ad9h8h,Qs9s,42,セカンドペア(強),check,Check,5
Jh4h5s,AhTd,30,Aハイ+BDFD,check,Check,5
5c2d3h,9s7s,32,空振り+2OC,check,Check,5
TsKcAh,QcTh,48,ボトムペア+GS,check,Check,5
9dTs8s,Ad5c,27,Aハイ+BDSD,check,Check,5
8h8cTc,AdTh,78,2ペア(top2),bet,Bet 2,5
Ks7h2d,As3s,31,Aハイ+BDFD+BDSD,bet,Bet 2,5
QcAdKh,9d8d,14,空振り+BDFD+BDSD,check,Check,5
Ad9h8h,Ks8d,32,ボトムペア,check,Check,5
Qc8cAc,5s5h,40,アンダーペア(低)+BDFD,check,Check,5
AcKs7d,KhKd,88,ミドルセット,bet,Bet 4,5
AcKs7d,QsQc,46,アンダーペア(高)+BDSD,check,Check,5
9dTs8s,8h7h,64,ボトムペア+OESD,check,Check,5
JsKs5d,2h2c,35,アンダーペア(低),check,Check,5
Jh4h5s,Qc9s,15,Qハイ,check,Check,5
7d6c4h,Kc8c,68,Kハイ+BDFD+GS,bet,Bet 2,5
9dTs8s,6h6d,51,アンダーペア(低)+GS,check,Check,5
Ad9h8h,7c6c,40,空振り+OESD,bet,Bet 4,5
Jh4h5s,2s2d,35,アンダーペア(低),check,Check,5
9s7s4c,Ad5h,25,Aハイ,check,Check,5
JcJh4s,As6d,25,Aハイ,check,Check,5
JsKs5d,Jc5c,68,2ペア(split),bet,Bet 4,5
Th4c5d,Ac9d,25,Aハイ,check,Check,5
5c2d3h,9d9c,68,オーバーペア(低),bet,Bet 2,5
JsKs5d,7h5h,32,ボトムペア,check,Check,5
QcAdKh,9d8d,14,空振り+BDFD+BDSD,check,Check,5
Ad8d3d,As4s,50,TPWK+BDFD,check,Check,5
AcKs7d,Qs7s,36,ボトムペア+BDFD+BDSD,check,Check,5
Jh4h5s,5d5c,88,ミドルセット,bet,Bet 4,5
Td6h4h,Ts7s,45,TPWK,check,Check,5
Js8d3c,Ah6s,25,Aハイ,check,Check,5
QcAdKh,Jc7c,58,Jハイ+BDFD+GS,bet,Bet 4,5
9s7s4c,AdTs,49,Aハイ+2OC,check,Check,5
JsKs5d,As3c,30,Aハイ+BDFD,bet,Bet 4,5
Th3s2d,AcTd,71,TPTK+BDSD,bet,Bet 4,5
Ad8d3d,KsKh,50,アンダーペア(高)+BDFD,check,Check,5
4s4h3h,Th8c,32,空振り+2OC,bet,Bet 2,5
9s7s4c,6s6d,40,アンダーペア(低)+BDFD,check,Check,5
Th3s2d,Ks8s,25,Kハイ+BDFD,check,Check,5
Jh4h5s,As4d,32,ボトムペア,check,Check,5
8h8cTc,Ks8d,85,トリップス,bet,Bet 2,5
JcJh4s,9c6c,13,空振り+BDFD,bet,Bet 2,5
Ks7h2d,Ah4d,25,Aハイ,bet,Bet 2,5
7d6c4h,AsJc,49,Aハイ+2OC,check,Check,5
QcAdKh,AhKd,79,2ペア(top2)+BDSD,bet,Bet 4,5
TsKcAh,Kd5d,32,セカンドペア(弱),check,Check,5
Ks7h2d,AcJd,25,Aハイ,bet,Bet 2,5
9dTs8s,AdAc,79,オーバーペア(高)+BDSD,check,Check,5
7d6c4h,KsQd,44,Kハイ+2OC,check,Check,5
Jh4h5s,KsTc,20,Kハイ,check,Check,5
JcJh4s,Ah5h,30,Aハイ+BDFD,check,Check,5
AcKs7d,Kc9h,35,セカンドペア(中),check,Check,5
7d6c4h,9s9c,68,オーバーペア(低),bet,Bet 2,5
