board,holding,hand_score,category,action,correct_decision,pot_size
4s4h3h,AcKc,2,エア,bet,Bet 2,5
9dTs8s,Kh9c,8,セカンドペア強,check,Check,5
Ad8d3d,KsTc,2,バックドアドロー,check,Check,5
Js8d3c,7h7c,5,弱ペア/ボトムペア,check,Check,5
5c5dAh,KhQs,2,バックドアドロー,check,Check,5
Jh4h5s,KsTs,2,バックドアドロー,check,Check,5
Ad8d3d,Ah5s,10,TP+弱キッカー,check,Check,5
Ad9h8h,Ah7s,10,TP+弱キッカー,check,Check,5
Ad9h8h,Ks5s,2,エア,check,Check,5
Ks7h2d,AhQd,2,バックドアドロー,bet,Bet 2,5
9s7s4c,AcQd,2,エア,check,Check,5
4s4h3h,As2s,5,ガットショット,check,Check,5
Ad9h8h,AcKh,12,TP+強キッカー,bet,Bet 4,5
8h8cTc,Ts9d,15,2ペア,bet,Bet 2,5
JsKs5d,Qs9s,10,フラッシュドロー,bet,Bet 4,5
Ad9h8h,Qs9s,8,セカンドペア強,check,Check,5
Jh4h5s,AhTd,2,バックドアドロー,check,Check,5
5c2d3h,9s7s,2,エア,check,Check,5
TsKcAh,QcTh,5,弱ペア/ボトムペア,check,Check,5
9dTs8s,Ad5c,2,バックドアドロー,check,Check,5
8h8cTc,AdTh,15,2ペア,bet,Bet 2,5
Ks7h2d,As3s,2,バックドアドロー,bet,Bet 2,5
QcAdKh,9d8d,2,バックドアドロー,check,Check,5
Ad9h8h,Ks8d,5,弱ペア/ボトムペア,check,Check,5
Qc8cAc,5s5h,5,弱ペア/ボトムペア,check,Check,5
AcKs7d,KhKd,18,セット,bet,Bet 4,5
AcKs7d,QsQc,5,弱ペア/ボトムペア,check,Check,5
9dTs8s,8h7h,8,ドロー+弱ペア,check,Check,5
JsKs5d,2h2c,5,弱ペア/ボトムペア,check,Check,5
Jh4h5s,Qc9s,2,エア,check,Check,5
7d6c4h,Kc8c,5,ガットショット,bet,Bet 2,5
9dTs8s,6h6d,5,弱ペア/ボトムペア,check,Check,5
Ad9h8h,7c6c,8,OESD,bet,Bet 4,5
Jh4h5s,2s2d,5,弱ペア/ボトムペア,check,Check,5
9s7s4c,Ad5h,2,エア,check,Check,5
JcJh4s,As6d,2,エア,check,Check,5
JsKs5d,Jc5c,15,2ペア,bet,Bet 4,5
Th4c5d,Ac9d,2,エア,check,Check,5
5c2d3h,9d9c,15,オーバーペア,bet,Bet 2,5
JsKs5d,7h5h,5,弱ペア/ボトムペア,check,Check,5
QcAdKh,9d8d,2,バックドアドロー,check,Check,5
Ad8d3d,As4s,10,TP+弱キッカー,check,Check,5
AcKs7d,Qs7s,5,弱ペア/ボトムペア,check,Check,5
Jh4h5s,5d5c,18,セット,bet,Bet 4,5
Td6h4h,Ts7s,10,TP+弱キッカー,check,Check,5
Js8d3c,Ah6s,2,エア,check,Check,5
QcAdKh,Jc7c,5,ガットショット,bet,Bet 4,5
9s7s4c,AdTs,2,バックドアドロー,check,Check,5
JsKs5d,As3c,2,バックドアドロー,bet,Bet 4,5
Th3s2d,AcTd,15,TPTK,bet,Bet 4,5
Ad8d3d,KsKh,5,弱ペア/ボトムペア,check,Check,5
4s4h3h,Th8c,2,バックドアドロー,bet,Bet 2,5
9s7s4c,6s6d,5,弱ペア/ボトムペア,check,Check,5
Th3s2d,Ks8s,2,バックドアドロー,check,Check,5
Jh4h5s,As4d,5,弱ペア/ボトムペア,check,Check,5
8h8cTc,Ks8d,18,セット,bet,Bet 2,5
JcJh4s,9c6c,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,Ah4d,2,エア,bet,Bet 2,5
7d6c4h,AsJc,2,エア,check,Check,5
QcAdKh,AhKd,15,2ペア,bet,Bet 4,5
TsKcAh,Kd5d,5,セカンドペア弱,check,Check,5
Ks7h2d,AcJd,2,エア,bet,Bet 2,5
9dTs8s,AdAc,15,オーバーペア,check,Check,5
7d6c4h,KsQd,2,エア,check,Check,5
Jh4h5s,KsTc,2,エア,check,Check,5
JcJh4s,Ah5h,2,バックドアドロー,check,Check,5
AcKs7d,Kc9h,5,セカンドペア弱,check,Check,5
7d6c4h,9s9c,15,オーバーペア,bet,Bet 2,5
JsKs5d,Th9h,5,ガットショット,check,Check,5
Th4c5d,Ah4h,5,弱ペア/ボトムペア,bet,Bet 4,5
9dTs8s,AhQd,5,ガットショット,bet,Bet 2,5
Jh4h5s,As8d,2,エア,check,Check,5
7d6c4h,QhTh,2,バックドアドロー,check,Check,5
Jh4h5s,Qh9h,10,フラッシュドロー,bet,Bet 4,5
9dTs8s,JcTc,12,コンボドロー(TP+中キッカー),check,Check,5
TsKcAh,QcJc,18,ストレート,bet,Bet 4,5
9dTs8s,Ad8d,5,弱ペア/ボトムペア,check,Check,5
6s8d7c,AcQs,2,バックドアドロー,bet,Bet 2,5
JsKs5d,Ac8d,2,エア,check,Check,5
Th4c5d,Ah4h,5,弱ペア/ボトムペア,bet,Bet 4,5
Jh4h5s,AhTd,2,バックドアドロー,check,Check,5
AcKs7d,Qs5s,2,バックドアドロー,check,Check,5
5c2d3h,Td7d,2,バックドアドロー,bet,Bet 2,5
9s7s4c,Ah5d,2,エア,check,Check,5
8h8cTc,Td8s,18,セット,bet,Bet 2,5
Th4c5d,9h9c,5,弱ペア/ボトムペア,check,Check,5
Th3s2d,QsJs,2,バックドアドロー,bet,Bet 4,5
Jh4h5s,Jd8d,10,TP+中キッカー,check,Check,5
TsKcAh,QhJd,18,ストレート,bet,Bet 4,5
Ad9h8h,KsQs,2,バックドアドロー,check,Check,5
Th4c5d,4s4d,18,セット,bet,Bet 4,5
TsKcAh,5h5c,5,弱ペア/ボトムペア,check,Check,5
7d6c4h,5h5d,8,ドロー+弱ペア,bet,Bet 2,5
8h8cTc,Ac6h,2,バックドアドロー,bet,Bet 2,5
JcJh4s,As7d,2,エア,check,Check,5
Ad8d3d,7s7d,8,ドロー+弱ペア,check,Check,5
JsKs5d,KcJd,15,2ペア,bet,Bet 4,5
5c5dAh,9d7d,2,バックドアドロー,bet,Bet 2,5
4s4h3h,9s9h,15,2ペア,bet,Bet 2,5
Td6h4h,Jh9d,2,バックドアドロー,bet,Bet 4,5
Qc8cAc,Qs2s,5,セカンドペア弱,check,Check,5
4s4h3h,6d5d,8,OESD,bet,Bet 2,5
5c2d3h,Kh8c,2,エア,bet,Bet 2,5
QcAdKh,JsJc,5,弱ペア/ボトムペア,bet,Bet 4,5
Qc8cAc,Qd4d,5,セカンドペア弱,check,Check,5
4s4h3h,Jc5c,2,バックドアドロー,bet,Bet 2,5
5c2d3h,9d6d,5,ガットショット,bet,Bet 2,5
9s7s4c,AhQh,2,エア,check,Check,5
Td6h4h,Kc8d,2,エア,check,Check,5
Th4c5d,7h5h,5,セカンドペア弱,check,Check,5
Ad9h8h,Ts9s,5,セカンドペア弱,check,Check,5
JcJh4s,Ac4c,15,2ペア,bet,Bet 2,5
6s8d7c,AdAc,15,オーバーペア,check,Check,5
Td6h4h,Ad9c,2,エア,check,Check,5
Qc8cAc,Ad9c,12,コンボドロー(TP+中キッカー),check,Check,5
Js8d3c,As6s,2,バックドアドロー,check,Check,5
8h8cTc,Kd5d,2,エア,check,Check,5
Ad8d3d,Ac6d,12,コンボドロー(TP+弱キッカー),check,Check,5
Ad8d3d,As5s,10,TP+弱キッカー,check,Check,5
QcAdKh,JcTh,18,ストレート,bet,Bet 4,5
TsKcAh,6c5c,2,バックドアドロー,check,Check,5
Ks7h2d,Kd9d,10,TP+中キッカー,bet,Bet 2,5
7d6c4h,Kc5c,8,OESD,bet,Bet 2,5
Jh4h5s,Ac4s,5,弱ペア/ボトムペア,check,Check,5
JcJh4s,Tc8s,2,エア,bet,Bet 2,5
