board,holding,hand_score,category,action,correct_decision,pot_size
9dTs8s,AdAc,15,オーバーペア,check,Check,5
6s8d7c,AdAc,15,オーバーペア,check,Check,5
9dTs8s,Td8h,15,2ペア,check,Check,5
5c5dAh,Ac3h,15,2ペア,check,Check,5
7d6c4h,AhAc,15,オーバーペア,check,Check,5
5c5dAh,Ad3c,15,2ペア,check,Check,5
Ad8d3d,6d5d,20,フラッシュ/SF,check,Check,5
Td6h4h,AdAc,15,オーバーペア,check,Check,5
5c5dAh,As4d,15,2ペア,check,Check,5
TsKcAh,KhTd,15,2ペア,check,Check,5
Jh4h5s,AhJd,15,TPTK,check,Check,5
6s8d7c,AhAd,15,オーバーペア,check,Check,5
Ad8d3d,Td7d,20,フラッシュ/SF,check,Check,5
5c5dAh,As2s,15,2ペア,check,Check,5
9dTs8s,AdAc,15,オーバーペア,check,Check,5
JcJh4s,AsAh,15,2ペア,check,Check,5
5c5dAh,KsKd,15,2ペア,check,Check,5
8h8cTc,4s4d,15,2ペア,check,Check,5
6s8d7c,AdAc,15,オーバーペア,check,Check,5
8h8cTc,5s5h,15,2ペア,check,Check,5
5c5dAh,As4c,15,2ペア,check,Check,5
Td6h4h,KsKc,15,オーバーペア,check,Check,5
JcJh4s,AsAc,15,2ペア,check,Check,5
6s8d7c,AsAh,15,オーバーペア,check,Check,5
