board,holding,hand_score,category,action,correct_decision,pot_size,hs_bin
4s4h3h,As2s,73,Aハイ+BDFD+GS,check,Check,5,"[70, 75)"
9dTs8s,AdAc,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
9dTs8s,JcTc,82,TPMK+OESD,check,Check,5,"[80, 85)"
Ad8d3d,7s7d,71,アンダーペア(低)+FD,check,Check,5,"[70, 75)"
6s8d7c,AdAc,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
Qc8cAc,Ad9c,86,TPMK+FD,check,Check,5,"[85, 90)"
Ad8d3d,Ac6d,81,TPWK+FD,check,Check,5,"[80, 85)"
9dTs8s,Td8h,76,2ペア(top+mid)+BDSD,check,Check,5,"[75, 80)"
5c5dAh,Ac3h,78,2ペア(top2),check,Check,5,"[75, 80)"
7d6c4h,AhAc,78,オーバーペア(高),check,Check,5,"[75, 80)"
Ad8d3d,Ac5d,81,TPWK+FD,check,Check,5,"[80, 85)"
5c5dAh,Ad3c,78,2ペア(top2),check,Check,5,"[75, 80)"
9dTs8s,7s7h,67,アンダーペア(低)+OESD,check,Check,5,"[65, 70)"
Ad8d3d,6d5d,85,フラッシュ,check,Check,5,"[85, 90)"
Td6h4h,AdAc,78,オーバーペア(高),check,Check,5,"[75, 80)"
Ad8d3d,As9d,86,TPMK+FD,check,Check,5,"[85, 90)"
5c5dAh,As4d,78,2ペア(top2),check,Check,5,"[75, 80)"
9dTs8s,9s6s,80,セカンドペア(弱)+FD+GS,check,Check,5,"[80, 85)"
Ad8d3d,As5d,81,TPWK+FD,check,Check,5,"[80, 85)"
7d6c4h,Ac3c,73,Aハイ+BDFD+GS,check,Check,5,"[70, 75)"
TsKcAh,KhTd,68,2ペア(split),check,Check,5,"[65, 70)"
9dTs8s,JdTc,82,TPMK+OESD,check,Check,5,"[80, 85)"
Ad8d3d,Ac5d,81,TPWK+FD,check,Check,5,"[80, 85)"
Jh4h5s,AhJd,75,TPTK+BDFD,check,Check,5,"[75, 80)"
9dTs8s,Jh9s,67,セカンドペア(中)+OESD,check,Check,5,"[65, 70)"
6s8d7c,Ks8c,71,TPTK+BDSD,check,Check,5,"[70, 75)"
9dTs8s,9s6s,80,セカンドペア(弱)+FD+GS,check,Check,5,"[80, 85)"
Ad8d3d,Td8h,71,セカンドペア(中)+FD,check,Check,5,"[70, 75)"
6s8d7c,AhAd,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
Ad8d3d,Td7d,85,フラッシュ,check,Check,5,"[85, 90)"
9dTs8s,JcTd,82,TPMK+OESD,check,Check,5,"[80, 85)"
Qc8cAc,AsTc,86,TPMK+FD,check,Check,5,"[85, 90)"
Qc8cAc,As6c,81,TPWK+FD,check,Check,5,"[80, 85)"
QcAdKh,QhTh,80,ボトムペア+BDFD+GS,check,Check,5,"[80, 85)"
Ad8d3d,4h4d,71,アンダーペア(低)+FD,check,Check,5,"[70, 75)"
5c5dAh,As2s,78,2ペア(top2),check,Check,5,"[75, 80)"
Qc8cAc,TdTc,76,アンダーペア(中)+FD,check,Check,5,"[75, 80)"
9dTs8s,AdAc,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
Ad8d3d,As7d,81,TPWK+FD,check,Check,5,"[80, 85)"
Ad8d3d,Ac6d,81,TPWK+FD,check,Check,5,"[80, 85)"
JcJh4s,AsAh,68,2ペア(split),check,Check,5,"[65, 70)"
Qc8cAc,Ah9c,86,TPMK+FD,check,Check,5,"[85, 90)"
9dTs8s,Jd8d,82,ボトムペア+BDFD+OESD,check,Check,5,"[80, 85)"
