board,holding,hand_score,category,action,correct_decision,pot_size
4s4h3h,AcKc,2,エア,bet,Bet 2,5
Ks7h2d,AhQd,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,As3s,2,バックドアドロー,bet,Bet 2,5
7d6c4h,Kc8c,5,ガットショット,bet,Bet 2,5
QcAdKh,Jc7c,5,ガットショット,bet,Bet 4,5
JsKs5d,As3c,2,バックドアドロー,bet,Bet 4,5
4s4h3h,Th8c,2,バックドアドロー,bet,Bet 2,5
JcJh4s,9c6c,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,Ah4d,2,エア,bet,Bet 2,5
Ks7h2d,AcJd,2,エア,bet,Bet 2,5
Th4c5d,Ah4h,5,弱ペア/ボトムペア,bet,Bet 4,5
9dTs8s,AhQd,5,ガットショット,bet,Bet 2,5
6s8d7c,AcQs,2,バックドアドロー,bet,Bet 2,5
Th4c5d,Ah4h,5,弱ペア/ボトムペア,bet,Bet 4,5
5c2d3h,Td7d,2,バックドアドロー,bet,Bet 2,5
Th3s2d,QsJs,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Ac6h,2,バックドアドロー,bet,Bet 2,5
5c5dAh,9d7d,2,バックドアドロー,bet,Bet 2,5
Td6h4h,Jh9d,2,バックドアドロー,bet,Bet 4,5
5c2d3h,Kh8c,2,エア,bet,Bet 2,5
QcAdKh,JsJc,5,弱ペア/ボトムペア,bet,Bet 4,5
4s4h3h,Jc5c,2,バックドアドロー,bet,Bet 2,5
5c2d3h,9d6d,5,ガットショット,bet,Bet 2,5
JcJh4s,Tc8s,2,エア,bet,Bet 2,5
JcJh4s,Qc9s,2,エア,bet,Bet 2,5
8h8cTc,KcJs,2,バックドアドロー,bet,Bet 2,5
TsKcAh,Jh9c,5,ガットショット,bet,Bet 4,5
5c2d3h,7s6s,5,ガットショット,bet,Bet 2,5
Js8d3c,KcQs,2,バックドアドロー,bet,Bet 2,5
5c2d3h,Td8h,2,エア,bet,Bet 2,5
Ks7h2d,Ts8h,2,エア,bet,Bet 2,5
7d6c4h,Qc9h,2,エア,bet,Bet 2,5
Ks7h2d,Td8s,2,エア,bet,Bet 2,5
Js8d3c,AcKc,2,バックドアドロー,bet,Bet 2,5
Js8d3c,KcQs,2,バックドアドロー,bet,Bet 2,5
6s8d7c,KdJs,2,バックドアドロー,bet,Bet 2,5
JsKs5d,Ac2c,2,エア,bet,Bet 4,5
Js8d3c,KdTs,2,エア,bet,Bet 2,5
5c2d3h,Ah9h,5,ガットショット,bet,Bet 2,5
JcJh4s,Tc6c,2,バックドアドロー,bet,Bet 2,5
Td6h4h,Qh9d,2,バックドアドロー,bet,Bet 4,5
QcAdKh,KdTd,5,セカンドペア弱,bet,Bet 4,5
8h8cTc,Qh2h,2,バックドアドロー,bet,Bet 2,5
Js8d3c,Ks9c,2,エア,bet,Bet 2,5
9s7s4c,Ad2d,2,エア,bet,Bet 4,5
Ks7h2d,Ad3s,2,バックドアドロー,bet,Bet 2,5
5c5dAh,9c6c,2,バックドアドロー,bet,Bet 2,5
Js8d3c,9s7s,5,ガットショット,bet,Bet 2,5
