board,holding,hand_score,category,action,correct_decision,pot_size,hs_bin
JcJh4s,9c6c,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Ks7h2d,Ah4d,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Ks7h2d,AcJd,25,Aハイ,bet,Bet 2,5,"[25, 30)"
5c5dAh,9d7d,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Td6h4h,Jh9d,16,Jハイ+BDFD+BDSD,bet,Bet 4,5,"[15, 20)"
JcJh4s,Tc8s,8,空振り,bet,Bet 2,5,"[5, 10)"
JcJh4s,Qc9s,15,Qハイ,bet,Bet 2,5,"[15, 20)"
5c2d3h,7s6s,24,空振り+GS,bet,Bet 2,5,"[20, 25)"
Ks7h2d,Ts8h,8,空振り,bet,Bet 2,5,"[5, 10)"
Ks7h2d,Td8s,8,空振り,bet,Bet 2,5,"[5, 10)"
JsKs5d,Ac2c,25,Aハイ,bet,Bet 4,5,"[25, 30)"
Js8d3c,KdTs,20,Kハイ,bet,Bet 2,5,"[20, 25)"
JcJh4s,Tc6c,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Td6h4h,Qh9d,20,Qハイ+BDFD,bet,Bet 4,5,"[20, 25)"
8h8cTc,Qh2h,20,Qハイ+BDFD,bet,Bet 2,5,"[20, 25)"
Js8d3c,Ks9c,20,Kハイ,bet,Bet 2,5,"[20, 25)"
9s7s4c,Ad2d,25,Aハイ,bet,Bet 4,5,"[25, 30)"
5c5dAh,9c6c,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Th3s2d,Ks5s,25,Kハイ+BDFD,bet,Bet 4,5,"[25, 30)"
JcJh4s,Ah5c,25,Aハイ,bet,Bet 2,5,"[25, 30)"
5c5dAh,9h6h,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Th3s2d,Qh5h,20,Qハイ+BDFD,bet,Bet 4,5,"[20, 25)"
6s8d7c,Qd2d,21,Qハイ+BDFD+BDSD,bet,Bet 2,5,"[20, 25)"
Ks7h2d,Jd9s,10,Jハイ,bet,Bet 2,5,"[10, 15)"
Ks7h2d,As5h,25,Aハイ,bet,Bet 2,5,"[25, 30)"
