street,formula,pot_type,board_family,mv_cat,dv_cat,bet_size,n,n_huge,mean_loss,huge_loss,acc%,modal_fold%,modal_call%,modal_raise%
flop,v8a,Cash100,low_dry,no_made_hand,twocards_bdfd,—,108,33,0.975,1.992,7.4,88.9,7.4,3.7
flop,v8a,Cash100,dry_high,no_made_hand,twocards_bdfd,—,452,79,0.35,1.369,20.1,77.9,20.1,2.0
flop,v8a,Cash100,low_dry,king_high,twocards_bdfd,—,64,22,0.657,1.312,32.8,65.6,32.8,1.6
flop,v8a,Cash100,dry_high,no_made_hand,onecard_bdfd,—,102,12,0.165,1.296,50.0,31.4,50.0,18.6
flop,v8a,Cash100,dry_high,king_high,twocards_bdfd,—,136,28,0.25,1.047,41.9,55.1,41.9,2.9
flop,v8a,Cash100,dynamic,low_pair,no_draw,—,72,6,0.267,1.029,0.0,100.0,0.0,0.0
flop,v9b,Cash100,dynamic,low_pair,no_draw,—,72,6,0.267,1.029,0.0,100.0,0.0,0.0
flop,v8a,Cash100,dry_high,king_high,onecard_bdfd,—,78,10,0.136,0.943,70.5,24.4,70.5,5.1
flop,v8a,Cash100,low_dry,ace_high,onecard_bdfd,—,60,9,0.176,0.911,58.3,35.0,58.3,6.7
flop,v8a,Cash100,low_dry,no_made_hand,gutshot,—,73,6,0.131,0.863,45.2,38.4,45.2,16.4
flop,v8a,Cash100,dry_high,ace_high,onecard_bdfd,—,150,18,0.159,0.763,48.0,34.7,48.0,17.3
flop,v8a,Cash100,dry_high,ace_high,twocards_bdfd,—,124,9,0.115,0.739,54.0,37.9,54.0,8.1
flop,v9b,Cash100,dry_high,no_made_hand,gutshot,—,284,17,0.896,0.62,7.7,7.7,61.6,30.6
flop,v8a,Cash100,dry_high,set,no_draw,—,60,22,0.26,0.611,36.7,0.0,36.7,63.3
flop,v9b,Cash100,dry_high,set,no_draw,—,60,22,0.26,0.611,36.7,0.0,36.7,63.3
flop,v8a,Cash100,dry_high,third_pair,no_draw,—,273,60,0.593,0.546,11.7,11.7,83.2,5.1
flop,v9b,Cash100,dry_high,third_pair,no_draw,—,273,60,0.593,0.546,11.7,11.7,83.2,5.1
river,v14,Cash100,dry_high,fullhouse,no_draw,overbet,86,83,7.825,8.094,3.5,0.0,3.5,96.5
river,v14,Cash100,monotone,top_pair,no_draw,allin,108,87,6.106,7.541,5.6,94.4,5.6,0.0
river,v14,Cash100,dynamic,fullhouse,no_draw,overbet,56,56,4.587,4.587,50.0,0.0,50.0,50.0
river,v15,Cash100,dynamic,fullhouse,no_draw,overbet,56,56,2.603,2.603,50.0,0.0,50.0,50.0
river,v14,Cash100,dynamic,top_pair,no_draw,allin,270,214,1.811,2.278,50.4,63.0,37.0,0.0
river,v14,Cash100,dynamic,straight,no_draw,overbet,1030,779,1.097,1.401,64.3,21.3,64.3,14.5
river,v15,Cash100,dynamic,straight,no_draw,overbet,1030,779,1.01,1.325,77.2,21.3,64.3,14.5
river,v14,Cash100,dynamic,two_pair,no_draw,med_100p,190,15,0.139,0.968,67.9,67.9,29.5,2.6
river,v15,Cash100,dynamic,two_pair,no_draw,med_100p,190,15,0.139,0.968,67.9,67.9,29.5,2.6
river,v15,Cash100,monotone,flush,no_draw,allin,64,63,0.864,0.878,81.2,1.6,98.4,0.0
river,v14,Cash100,dry_high,second_pair,no_draw,overbet,311,123,0.524,0.871,39.2,39.2,43.4,17.4
river,v15,Cash100,dry_high,second_pair,no_draw,overbet,311,123,0.524,0.871,39.2,39.2,43.4,17.4
