board_family,board_label,board_str,hero_polarization,hero_pos,hero_strong_pct,hero_total_combos,hero_weak_pct,n_combos,opp_draw_pct,opp_nut_class,opp_nut_eq_median,opp_nut_pct,opp_polarization,opp_pos,opp_strong_pct,opp_total_combos,opp_weak_pct,source,spot_file,target
dry_high,dry_high_A,As9c4d3c2d,,BTN,,,,487,0.0,set,0.451,0.0,0.754,BB,0.739,8.4,0.015,R1,r1_dry_high_A_3c_2d.json,river_def_ip_allin
dry_high,dry_high_A,As9c4d3c4s,,BTN,,,,482,0.0,set,,0.0,0.754,BB,0.733,7.4,0.021,R1,r1_dry_high_A_3c_4s.json,river_def_ip_allin
dry_high,dry_high_A,As9c4dAh2d,,BTN,,,,451,0.0,set,,0.0,0.846,BB,0.846,5.2,0.0,R1,r1_dry_high_A_Ah_2d.json,river_def_ip_allin
dry_high,dry_high_A,As9c4dAh4s,,BTN,,,,447,0.0,set,,0.0,0.994,BB,0.993,0.2,0.0,R1,r1_dry_high_A_Ah_4s.json,river_def_ip_allin
dry_high,dry_high_A,As9c4dAhKh,,BTN,,,,426,0.0,set,,0.0,0.939,BB,0.939,1.1,0.0,R1,r1_dry_high_A_Ah_Kh.json,river_def_ip_allin
dry_high,dry_high_K,Ks7d2c8h2d,,BTN,,,,499,0.0,set,,0.0,0.626,BB,0.626,5.0,0.0,R1,r1_dry_high_K_8h_2d.json,river_def_ip_allin
dry_high,dry_high_K,Ks7d2c8h4s,,BTN,,,,492,0.0,set,0.877,0.618,0.629,BB,0.629,3.1,0.0,R1,r1_dry_high_K_8h_4s.json,river_def_ip_allin
dry_high,dry_high_K,Ks7d2c8hKh,,BTN,,,,472,0.0,set,,0.0,0.712,BB,0.711,5.9,0.0,R1,r1_dry_high_K_8h_Kh.json,river_def_ip_allin
dry_high,dry_high_Q,Qh7s3c8h2d,,BTN,,,,501,0.0,set,0.889,0.612,0.629,BB,0.629,1.2,0.0,R1,r1_dry_high_Q_8h_2d.json,river_def_ip_allin
dry_high,dry_high_Q,Qh7s3c8h4s,,BTN,,,,494,0.0,set,0.857,0.001,0.624,BB,0.624,2.5,0.0,R1,r1_dry_high_Q_8h_4s.json,river_def_ip_allin
dry_high,dry_high_Q,Qh7s3c8hKh,,BTN,,,,475,0.0,set,0.582,0.0,0.653,BB,0.624,10.3,0.029,R1,r1_dry_high_Q_8h_Kh.json,river_def_ip_allin
dry_high,dry_high_Q,Qh7s3cAhKh,,BTN,,,,458,0.0,set,0.579,0.0,0.825,BB,0.823,14.5,0.002,R1,r1_dry_high_Q_Ah_Kh.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c3c2d,,BTN,,,,499,0.0,flush,,0.0,0.651,BB,0.631,1.1,0.02,R1,r1_dynamic_2tone_T97_3c_2d.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c3c4s,,BTN,,,,492,0.0,flush,0.851,0.647,0.669,BB,0.648,8.3,0.022,R1,r1_dynamic_2tone_T97_3c_4s.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c3cKh,,BTN,,,,473,0.0,flush,,0.0,0.751,BB,0.61,8.8,0.141,R1,r1_dynamic_2tone_T97_3c_Kh.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c8h2d,,BTN,,,,480,0.0,flush,,0.0,0.876,BB,0.874,6.3,0.001,R1,r1_dynamic_2tone_T97_8h_2d.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c8h4s,,BTN,,,,473,0.0,flush,0.891,0.597,0.855,BB,0.854,5.7,0.0,R1,r1_dynamic_2tone_T97_8h_4s.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7c8hKh,,BTN,,,,455,0.0,flush,,0.0,0.871,BB,0.871,6.1,0.0,R1,r1_dynamic_2tone_T97_8h_Kh.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7cAh2d,,BTN,,,,463,0.0,flush,,0.0,0.814,BB,0.814,0.0,0.0,R1,r1_dynamic_2tone_T97_Ah_2d.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7cAh4s,,BTN,,,,457,0.0,flush,0.861,0.627,0.73,BB,0.648,5.8,0.082,R1,r1_dynamic_2tone_T97_Ah_4s.json,river_def_ip_allin
dynamic_2tone,dynamic_2tone_T97,Ts9s7cAhKh,,BTN,,,,438,0.0,flush,,0.0,0.67,BB,0.658,2.3,0.012,R1,r1_dynamic_2tone_T97_Ah_Kh.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7s8h2d,,BTN,,,,478,0.0,straight,0.652,0.864,0.865,BB,0.864,6.5,0.0,R1,r1_dynamic_J97_8h_2d.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7s8h4s,,BTN,,,,471,0.0,straight,0.656,0.864,0.864,BB,0.864,6.6,0.0,R1,r1_dynamic_J97_8h_4s.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7s8hKh,,BTN,,,,453,0.0,straight,0.522,0.021,0.881,BB,0.836,10.9,0.046,R1,r1_dynamic_J97_8h_Kh.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7sAh2d,,BTN,,,,461,0.0,straight,0.949,0.621,0.63,BB,0.63,1.0,0.0,R1,r1_dynamic_J97_Ah_2d.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7sAh4s,,BTN,,,,455,0.0,straight,0.948,0.621,0.63,BB,0.63,0.9,0.0,R1,r1_dynamic_J97_Ah_4s.json,river_def_ip_allin
dynamic,dynamic_J97,Jh9c7sAhKh,,BTN,,,,436,0.0,straight,0.738,0.029,0.72,BB,0.72,12.0,0.0,R1,r1_dynamic_J97_Ah_Kh.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c3c2d,,BTN,,,,489,0.0,straight,0.809,0.644,0.867,BB,0.644,2.3,0.223,R1,r1_dynamic_T98_3c_2d.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c3c4s,,BTN,,,,482,0.0,straight,0.793,0.629,0.863,BB,0.63,1.3,0.233,R1,r1_dynamic_T98_3c_4s.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c3cKh,,BTN,,,,464,0.0,straight,0.832,0.629,0.898,BB,0.63,1.7,0.268,R1,r1_dynamic_T98_3c_Kh.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c8h2d,,BTN,,,,471,0.0,straight,0.522,0.0,0.768,BB,0.768,5.4,0.0,R1,r1_dynamic_T98_8h_2d.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c8h4s,,BTN,,,,464,0.0,straight,0.537,0.002,0.769,BB,0.769,5.6,0.0,R1,r1_dynamic_T98_8h_4s.json,river_def_ip_allin
dynamic,dynamic_T98,Ts9d8c8hKh,,BTN,,,,447,0.0,straight,0.497,0.007,0.714,BB,0.714,2.1,0.0,R1,r1_dynamic_T98_8h_Kh.json,river_def_ip_allin
low_dry,low_dry_853,8s5d3h3c2d,,BTN,,,,525,0.0,set,,0.0,0.848,BB,0.847,4.8,0.0,R1,r1_low_dry_853_3c_2d.json,river_def_ip_allin
low_dry,low_dry_853,8s5d3h3c4s,,BTN,,,,518,0.0,set,,0.0,0.847,BB,0.847,5.4,0.0,R1,r1_low_dry_853_3c_4s.json,river_def_ip_allin
low_dry,low_dry_964,9c6d4s3cKh,,BTN,,,,487,0.0,set,0.826,0.13,0.851,BB,0.851,9.2,0.0,R1,r1_low_dry_964_3c_Kh.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s3c2d,,BTN,,,,521,0.0,flush,0.565,0.021,0.647,BB,0.646,5.1,0.0,R1,r1_monotone_Js_3c_2d.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s3c4s,,BTN,,,,515,0.0,flush,0.352,0.034,0.661,BB,0.661,7.3,0.0,R1,r1_monotone_Js_3c_4s.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s3cKh,,BTN,,,,494,0.0,flush,0.514,0.002,0.751,BB,0.751,6.3,0.0,R1,r1_monotone_Js_3c_Kh.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s8h2d,,BTN,,,,500,0.0,flush,0.774,0.671,0.678,BB,0.671,1.1,0.007,R1,r1_monotone_Js_8h_2d.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s8h4s,,BTN,,,,494,0.0,flush,0.356,0.998,1.0,BB,1.0,19.1,0.0,R1,r1_monotone_Js_8h_4s.json,river_def_ip_allin
monotone,monotone_Js,Js7s3s8hKh,,BTN,,,,474,0.0,flush,0.765,0.673,0.696,BB,0.685,0.1,0.011,R1,r1_monotone_Js_8h_Kh.json,river_def_ip_allin
monotone,monotone_Js,Js7s3sAh2d,,BTN,,,,483,0.0,flush,0.801,0.657,0.696,BB,0.657,4.6,0.039,R1,r1_monotone_Js_Ah_2d.json,river_def_ip_allin
monotone,monotone_Js,Js7s3sAh4s,,BTN,,,,478,0.0,flush,0.355,0.815,0.902,BB,0.902,15.1,0.0,R1,r1_monotone_Js_Ah_4s.json,river_def_ip_allin
monotone,monotone_Js,Js7s3sAhKh,,BTN,,,,457,0.0,flush,0.838,0.628,0.629,BB,0.629,7.1,0.0,R1,r1_monotone_Js_Ah_Kh.json,river_def_ip_allin
monotone,monotone_Ts,Ts8s4s3c2d,,BTN,,,,504,0.0,flush,0.81,0.661,0.983,BB,0.661,3.6,0.322,R1,r1_monotone_Ts_3c_2d.json,river_def_ip_allin
monotone,monotone_Ts,Ts8s4s3cKh,,BTN,,,,478,0.0,flush,0.767,0.659,0.982,BB,0.66,3.4,0.322,R1,r1_monotone_Ts_3c_Kh.json,river_def_ip_allin
monotone,monotone_Ts,Ts8s4s8h2d,,BTN,,,,485,0.0,flush,0.49,0.008,0.646,BB,0.646,0.9,0.0,R1,r1_monotone_Ts_8h_2d.json,river_def_ip_allin
monotone,monotone_Ts,Ts8s4s8hKh,,BTN,,,,460,0.0,flush,0.425,0.0,0.761,BB,0.761,3.4,0.0,R1,r1_monotone_Ts_8h_Kh.json,river_def_ip_allin
