id,topic,gametype,depth,stacks,line,target_board,note
# B-3: Multiway SB donk by connectedness/board (25 spots)
# Line: F-R2.2-F-F-C-C / (SB first on flop)
b3_01,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,7d6s5c,3way HJ+SB+BB flop 765 connect
b3_02,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,6s5h4c,3way 654 connect mid
b3_03,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,5d4s3c,3way 543 connect low
b3_04,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,8h6c4d,3way 864 gap mid
b3_05,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Th8c5d,3way T85 mixed
b3_06,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Qc9s7d,3way Q97 mid-high
b3_07,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Jc8s5h,3way J85
b3_08,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Ah7c4d,3way A74 A-high
b3_09,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Kh6s4c,3way K64
b3_10,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Qh4s2c,3way Q42 air
b3_11,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,9h8s2c,3way 982 paired-style
b3_12,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,8h7s2c,3way 872 mid-conn-low
b3_13,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Jh9s7c,3way J97 conn
b3_14,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Ts9s7c,3way T97 2tone-conn
b3_15,b3_mw_donk,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C / / / ,Jh7s5c,3way J75 gap
# B-4: XX-XX river position dependency (15 spots)
# Position-specific opens; UTG=R2.2, HJ=R2.2, CO=R2.4, BTN=R2.6; flop XX, turn XX
b4_01,b4_xxxx_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / X-X / X-X / ,Ks7d2c5h3d,UTGvBB XX-XX dry
b4_02,b4_xxxx_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / X-X / X-X / ,9h8s7d4c2d,UTGvBB XX-XX wet 987
