id,topic,gametype,depth,stacks,line,target_board,note
# B-1 拡張: paired turn / str8 turn の例外パターンマップ
# 仮説: ペア化 turn / str8 turn では OOP donk が >20%
# Flop x turn-card variations to find boundary
b1x_01,b1_pair_top,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,Ks7d2cKh,K-high top pair (実測 25.5%)
b1x_02,b1_pair_top,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,QhJd4sQc,Q-high top pair (実測 0%)
b1x_03,b1_pair_top,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,AhKd4sAc,A pair on AK4
b1x_04,b1_pair_top,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,Td7c6sTh,T-high top pair on T76
b1x_05,b1_pair_top,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,JdTs9cJh,J top pair on JT9
b1x_06,b1_pair_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,Ks7d2c7c,7 mid pair on Kxx (実測 48.1%)
b1x_07,b1_pair_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,QhJd4sJh,J mid pair on QJ4
b1x_08,b1_pair_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,AhKd4sKc,K pair on AK4
b1x_09,b1_pair_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,JdTs9cTh,T mid pair on JT9
b1x_10,b1_pair_bot,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,Ks7d2c2h,2 bot pair on Kxx
b1x_11,b1_pair_bot,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / X-Rcbet-C / / ,QhJd4s4c,4 bot pair on QJ4
