id,topic,gametype,depth,stacks,line,target_board,note
# ===========================================
# B-32: K-high boards gradient (BTN vs BB) — 15 boards
# K72(baseline) → K94 → K76 → K54 → K85 → KQ等の全変化
# ===========================================
b32_01,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks5d2c,K52 dry low
b32_02,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks5d3c,K53 dry low
b32_03,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks5d4c,K54 dry low-connected
b32_04,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks8d3c,K83 dry mid
b32_05,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks9d4c,K94 mid gap
b32_06,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks9d5c,K95 mid gap
b32_07,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsTd5c,KT5 high mid
b32_08,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsJd4c,KJ4 high mid
b32_09,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsQd5c,KQ5 high mid
b32_10,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks8d7c,K87 wet-conn
b32_11,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks9d8c,K98 wet-conn
b32_12,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks7d6c,K76 wet-conn
b32_13,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsQd7c,KQ7 wet-mid
b32_14,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsJdTc,KJT broadway-wet
b32_15,b32_khigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,KsQdJc,KQJ broadway-wet
# ===========================================
# B-33: A-high boards (BTN vs BB) — 12 boards
# ===========================================
b33_01,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ah5d2c,A52 dry low (wheel-ish)
b33_02,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ah7d2c,A72 dry low
b33_03,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ah8d2c,A82 dry low
b33_04,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ah9d2c,A92 dry low
b33_05,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ah9d5c,A95 dry mid
b33_06,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,AhJd4c,AJ4 mid
b33_07,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,AhTd5c,AT5 mid
b33_08,b33_ahigh_gradient,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,AhTd7c,AT7 mid-conn
