id,topic,gametype,depth,stacks,line,target_board,note
# ===========================================
# B-25: Cash 特殊 boards × 全 position
# 各 position から paired/mono/super-wet 板の cbet 頻度を取得
# ===========================================
b25_utg_kk7,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,KsKd7c,Cash UTGvBB KK7
b25_utg_aak,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,AhAdKc,Cash UTGvBB AAK
b25_utg_774,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,7d7s4c,Cash UTGvBB 774
b25_hj_kk7,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,KsKd7c,Cash HJvBB KK7
b25_hj_aak,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,AhAdKc,Cash HJvBB AAK
b25_hj_774,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,7d7s4c,Cash HJvBB 774
b25_co_kk7,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,KsKd7c,Cash COvBB KK7
b25_co_774,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,7d7s4c,Cash COvBB 774
b25_sb_kk7,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-F-F-F-R3.5-C / X / / ,KsKd7c,Cash SBvBB KK7
b25_sb_774,b25_cash_paired,Cash6mGeneral_6mNL25R25,100,,F-F-F-F-R3.5-C / X / / ,7d7s4c,Cash SBvBB 774
b25_utg_mono1,b25_cash_mono,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,KsQs7s,Cash UTGvBB KQ7 mono
b25_hj_mono1,b25_cash_mono,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,KsQs7s,Cash HJvBB KQ7 mono
b25_co_mono1,b25_cash_mono,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,KsQs7s,Cash COvBB KQ7 mono
b25_sb_mono1,b25_cash_mono,Cash6mGeneral_6mNL25R25,100,,F-F-F-F-R3.5-C / X / / ,KsQs7s,Cash SBvBB KQ7 mono
b25_utg_987,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,9h8s7d,Cash UTGvBB 987
b25_hj_987,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,9h8s7d,Cash HJvBB 987
b25_co_987,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,9h8s7d,Cash COvBB 987
b25_sb_987,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-F-F-F-R3.5-C / X / / ,9h8s7d,Cash SBvBB 987
b25_hj_jt9,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,JhTh9c,Cash HJvBB JT9
b25_btn_jt9,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,JhTh9c,Cash BTNvBB JT9
b25_hj_q42,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Qh4s2c,Cash HJvBB Q42
b25_co_q42,b25_cash_wet,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,Qh4s2c,Cash COvBB Q42
# ===========================================
# B-26: Cash 3BP HJvBB flop cbet (BB cold-call 3bet)
# 3bet size: R13.5 (BB vs HJ R2.5)
# ===========================================
b26_01,b26_cash_3bp,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-R13.5-C / X / / ,Ks7d2c,Cash 3BP HJvBB Kxx
b26_02,b26_cash_3bp,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-R13.5-C / X / / ,Qh8d3s,Cash 3BP HJvBB Q83
b26_03,b26_cash_3bp,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-R13.5-C / X / / ,Jd6c4d,Cash 3BP HJvBB J64
b26_04,b26_cash_3bp,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-R13.5-C / X / / ,Th9s8d,Cash 3BP HJvBB T98
b26_05,b26_cash_3bp,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-R13.5-C / X / / ,AhKd4s,Cash 3BP HJvBB AK4
