id,topic,gametype,depth,stacks,line,target_board,note
# ===========================================
# B-20: Cash @ 100bb NL25R25 — 全 position × 7 boards
# Open size: UTG/HJ/CO/BTN=R2.5, SB=R3.5
# ===========================================
b20_utg_01,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Ks7d2c,Cash UTGvBB Kxx
b20_utg_02,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Qh8d3s,Cash UTGvBB Q83
b20_utg_03,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Jd6c4d,Cash UTGvBB J64
b20_utg_04,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Th9s8d,Cash UTGvBB T98
b20_utg_05,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,AhKd4s,Cash UTGvBB AK4
b20_utg_06,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Td7c6s,Cash UTGvBB T76
b20_utg_07,b20_cash_100bb_utg,Cash6mGeneral_6mNL25R25,100,,R2.5-F-F-F-F-C / X / / ,Ts5d2c,Cash UTGvBB T52
b20_hj_01,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Ks7d2c,Cash HJvBB Kxx
b20_hj_02,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Qh8d3s,Cash HJvBB Q83
b20_hj_03,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Jd6c4d,Cash HJvBB J64
b20_hj_04,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Th9s8d,Cash HJvBB T98
b20_hj_05,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,AhKd4s,Cash HJvBB AK4
b20_hj_06,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Td7c6s,Cash HJvBB T76
b20_hj_07,b20_cash_100bb_hj,Cash6mGeneral_6mNL25R25,100,,F-R2.5-F-F-F-C / X / / ,Ts5d2c,Cash HJvBB T52
b20_co_01,b20_cash_100bb_co,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,Ks7d2c,Cash COvBB Kxx
b20_co_02,b20_cash_100bb_co,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,Qh8d3s,Cash COvBB Q83
b20_co_03,b20_cash_100bb_co,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,Th9s8d,Cash COvBB T98
b20_co_04,b20_cash_100bb_co,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,AhKd4s,Cash COvBB AK4
b20_co_05,b20_cash_100bb_co,Cash6mGeneral_6mNL25R25,100,,F-F-R2.5-F-F-C / X / / ,Td7c6s,Cash COvBB T76
b20_btn_01,b20_cash_100bb_btn,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Ks7d2c,Cash BTNvBB Kxx
b20_btn_02,b20_cash_100bb_btn,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Qh8d3s,Cash BTNvBB Q83
b20_btn_03,b20_cash_100bb_btn,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Jd6c4d,Cash BTNvBB J64
b20_btn_04,b20_cash_100bb_btn,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,Th9s8d,Cash BTNvBB T98
b20_btn_05,b20_cash_100bb_btn,Cash6mGeneral_6mNL25R25,100,,F-F-F-R2.5-F-C / X / / ,AhKd4s,Cash BTNvBB AK4
