id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,ctx,board_family,opener,caller,note
D0001,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Ks7d2c,flop_cbet_attack,dry_high,BTN,BB,flop_cbet_attack dry_high BTNvBB
D0002,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Qh8d3s,flop_cbet_attack,dry_high,BTN,BB,flop_cbet_attack dry_high BTNvBB
D0003,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Js5c2h,flop_cbet_attack,dry_high,BTN,BB,flop_cbet_attack dry_high BTNvBB
D0004,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Ts9d7c,flop_cbet_attack,dynamic,BTN,BB,flop_cbet_attack dynamic BTNvBB
D0005,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,9h8d6c,flop_cbet_attack,dynamic,BTN,BB,flop_cbet_attack dynamic BTNvBB
D0006,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,8c7d5s,flop_cbet_attack,dynamic,BTN,BB,flop_cbet_attack dynamic BTNvBB
D0007,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Ts9s8d,flop_cbet_attack,dynamic_2tone,BTN,BB,flop_cbet_attack dynamic_2tone BTNvBB
D0008,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,9s8s6d,flop_cbet_attack,dynamic_2tone,BTN,BB,flop_cbet_attack dynamic_2tone BTNvBB
D0009,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,7s6s5d,flop_cbet_attack,dynamic_2tone,BTN,BB,flop_cbet_attack dynamic_2tone BTNvBB
D0010,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,8s5h2c,flop_cbet_attack,low_dry,BTN,BB,flop_cbet_attack low_dry BTNvBB
D0011,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,9c6d4s,flop_cbet_attack,low_dry,BTN,BB,flop_cbet_attack low_dry BTNvBB
D0012,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,7h4d2c,flop_cbet_attack,low_dry,BTN,BB,flop_cbet_attack low_dry BTNvBB
D0013,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,KsQsJs,flop_cbet_attack,monotone,BTN,BB,flop_cbet_attack monotone BTNvBB
D0014,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Ts8s5s,flop_cbet_attack,monotone,BTN,BB,flop_cbet_attack monotone BTNvBB
D0015,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,9s7s4s,flop_cbet_attack,monotone,BTN,BB,flop_cbet_attack monotone BTNvBB
D0016,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Ks7d7c,flop_cbet_attack,paired,BTN,BB,flop_cbet_attack paired BTNvBB
D0017,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,Th7s7d,flop_cbet_attack,paired,BTN,BB,flop_cbet_attack paired BTNvBB
D0018,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,9s9d4c,flop_cbet_attack,paired,BTN,BB,flop_cbet_attack paired BTNvBB
D0019,design_flop_cbet_attack,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,,,,KsKd2c,flop_cbet_attack,paired,BTN,BB,flop_cbet_attack paired BTNvBB
