id,topic,gametype,depth,stacks,line,target_board,note
# ===========================================
# B-11: Cash flop cbet — multiple gametypes try
# 旧 GCP study と直接比較するため、同じ標準ボード K72/Q83/J65/T98/T52
# ===========================================
b11_01,b11_cash_50z_gen,Cash6m50zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Ks7d2c,Cash50z HJvBB Kxx
b11_02,b11_cash_50z_gen,Cash6m50zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Qh8d3s,Cash50z HJvBB Q83
b11_03,b11_cash_50z_gen,Cash6m50zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Jd6c4d,Cash50z HJvBB J64
b11_04,b11_cash_50z_gen,Cash6m50zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Th9s8d,Cash50z HJvBB T98
b11_05,b11_cash_50z_gen,Cash6m50zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Ts5d2c,Cash50z HJvBB T52
b11_06,b11_cash_500z_gen,Cash6m500zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Ks7d2c,Cash500z HJvBB Kxx
b11_07,b11_cash_500z_gen,Cash6m500zGeneral,100,100-100-100-100-100-100,F-R2.2-F-F-F-C / / / ,Qh8d3s,Cash500z HJvBB Q83
b11_08,b11_cash_NL10,Cash6mGeneral_6mNL10R25,100,100-100-100-100-100-100,F-R2.5-F-F-F-C / / / ,Ks7d2c,Cash NL10 R2.5 HJvBB Kxx
b11_09,b11_cash_NL10,Cash6mGeneral_6mNL10R25,100,100-100-100-100-100-100,F-R2.5-F-F-F-C / / / ,Qh8d3s,Cash NL10 R2.5 HJvBB Q83
b11_10,b11_cash_cev,Cash6mGeneral_6mcEVR25,100,100-100-100-100-100-100,F-R2.5-F-F-F-C / / / ,Ks7d2c,Cash cEV R2.5 HJvBB Kxx
# ===========================================
# B-12: MTT position 拡張 (UTG/CO/BTN/SB vs BB)
# UTG=R2.2, HJ=R2.2, CO=R2.4, BTN=R2.6, SB=R4
# ===========================================
b12_utg_01,b12_mtt_utg,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / / / ,Ks7d2c,UTGvBB Kxx flop
b12_utg_02,b12_mtt_utg,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / / / ,Qh8d3s,UTGvBB Q83
b12_utg_03,b12_mtt_utg,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / / / ,Jd6c4d,UTGvBB J64
b12_utg_04,b12_mtt_utg,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / / / ,Th9s8d,UTGvBB T98
b12_utg_05,b12_mtt_utg,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,R2.2-F-F-F-F-C / / / ,AhKd4s,UTGvBB AK4
b12_co_01,b12_mtt_co,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C / / / ,Ks7d2c,COvBB Kxx
b12_co_02,b12_mtt_co,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C / / / ,Qh8d3s,COvBB Q83
b12_co_03,b12_mtt_co,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C / / / ,Jd6c4d,COvBB J64
b12_co_04,b12_mtt_co,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C / / / ,Th9s8d,COvBB T98
b12_co_05,b12_mtt_co,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C / / / ,AhKd4s,COvBB AK4
b12_btn_01,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,Ks7d2c,BTNvBB Kxx
b12_btn_02,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,Qh8d3s,BTNvBB Q83
b12_btn_03,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,Jd6c4d,BTNvBB J64
b12_btn_04,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,Th9s8d,BTNvBB T98
b12_btn_05,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,AhKd4s,BTNvBB AK4
b12_btn_06,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,Td7c6s,BTNvBB T76
b12_btn_07,b12_mtt_btn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C / / / ,QhJd4s,BTNvBB QJ4
b12_sb_01,b12_mtt_sb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-F-R4-C / / / ,Ks7d2c,SBvBB SRP Kxx
b12_sb_02,b12_mtt_sb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-F-R4-C / / / ,Qh8d3s,SBvBB SRP Q83
b12_sb_03,b12_mtt_sb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-F-R4-C / / / ,Jd6c4d,SBvBB SRP J64
b12_sb_04,b12_mtt_sb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-F-R4-C / / / ,Th9s8d,SBvBB SRP T98
b12_sb_05,b12_mtt_sb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-F-R4-C / / / ,AhKd4s,SBvBB SRP AK4
# ===========================================
# B-13: 特殊ボード (paired / mono / super-wet)
# ===========================================
b13_01,b13_paired_high,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / / / ,KsKd7c,KK7 paired high
b13_02,b13_paired_high,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / / / ,AhAdKc,AAK paired
b13_03,b13_paired_high,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / / / ,QsQc7d,QQ7
b13_04,b13_paired_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / / / ,JsJc4d,JJ4
b13_05,b13_paired_mid,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C / / / ,9d9s4c,994
