id,topic,gametype,depth,stacks,line,target_board,note
# ===========================================
# B-15: MTT 100bb (cash-proxy) flop cbet — 全 position × 標準7板
# Open sizes @ 100bb: UTG/HJ=R2.1, CO=R2.2, BTN=R2.5, SB=R3.5
# ===========================================
b15_hj_01,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Ks7d2c,100bb HJvBB Kxx
b15_hj_02,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Qh8d3s,100bb HJvBB Q83
b15_hj_03,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Jd6c4d,100bb HJvBB J64
b15_hj_04,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Th9s8d,100bb HJvBB T98
b15_hj_05,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Ts5d2c,100bb HJvBB T52
b15_hj_06,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,AhKd4s,100bb HJvBB AK4
b15_hj_07,b15_100bb_hj,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-R2.1-F-F-F-C / X / / ,Td7c6s,100bb HJvBB T76
b15_utg_01,b15_100bb_utg,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,R2.1-F-F-F-F-C / X / / ,Ks7d2c,100bb UTGvBB Kxx
b15_utg_02,b15_100bb_utg,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,R2.1-F-F-F-F-C / X / / ,Qh8d3s,100bb UTGvBB Q83
b15_utg_03,b15_100bb_utg,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,R2.1-F-F-F-F-C / X / / ,Jd6c4d,100bb UTGvBB J64
b15_utg_04,b15_100bb_utg,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,R2.1-F-F-F-F-C / X / / ,Th9s8d,100bb UTGvBB T98
b15_utg_05,b15_100bb_utg,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,R2.1-F-F-F-F-C / X / / ,AhKd4s,100bb UTGvBB AK4
b15_co_01,b15_100bb_co,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-F-R2.2-F-F-C / X / / ,Ks7d2c,100bb COvBB Kxx
b15_co_02,b15_100bb_co,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-F-R2.2-F-F-C / X / / ,Qh8d3s,100bb COvBB Q83
b15_co_03,b15_100bb_co,MTT6mSimple,100.125,100.125-100.125-100.125-100.125-100.125-100.125,F-F-R2.2-F-F-C / X / / ,Th9s8d,100bb COvBB T98
