id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,note
# Sizes confirmed: HJ=R2.2, CO=R2.4, BTN=R2.6; 3bet HJ=R13.2, CO=R14.4, BTN=R13.65, SBvBTN=R13.65, SBvBB=R14
# Flop SRP cbet R1.9 (33%); 3bp flop cbet R19.9 (72%) or XX→HJ R5.5
#
# Topic A: 3BP turn-river — HJvBB (R13.2), various flop lines
A01,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,Ks7d2c5h,3bp HJvBB Kxx after BB-cbet IP-call turn first
A02,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-X,X-,,Ks7d2c5h,3bp HJvBB Kxx after XX turn IP first
A03,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,9h8s7d3c,3bp HJvBB 987 turn
A04,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,AhKd4s8c,3bp HJvBB AK4 turn
A05,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,Td7c6s2h,3bp HJvBB T76 turn
A06,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,QhJd4s7c,3bp HJvBB QJ4 turn
A07,3bp_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-,,JdTs9c4h,3bp HJvBB JT9 turn
A08,3bp_turn_XX,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-X,X-,,9h8s7d3c,3bp HJvBB 987 XX flop turn
A09,3bp_turn_XX,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-X,X-,,AhKd4s8c,3bp HJvBB AK4 XX flop turn
A10,3bp_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-X,,Ks7d2c5h3d,3bp Kxx turn XX river BB
A11,3bp_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9,X-X,,9h8s7d3cTh,3bp 987 turn XX river
A12,3bp_BTN_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9,X-,,Ks7d2c5h,3bp BTNvBB Kxx turn
A13,3bp_BTN_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9,X-,,Th9s8c2d,3bp BTNvBB T98 turn
A14,3bp_BTN_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9,X-,,AhKd4s8c,3bp BTNvBB AK4 turn
