size_bucket,equity_bucket,mv_cat,board_family,dv_cat,median,iqr,count,pred_band
small (≤33%),best_hands,fullhouse,dry_high,no_draw,0.0012,0.093175,342,CHECK主体
big (≥85%),best_hands,straight,dry_high,no_draw,0.0002,0.0012,312,CHECK主体
big (≥85%),best_hands,top_pair,dry_high,gutshot,0.0002,0.0018,33,CHECK主体
big (≥85%),best_hands,top_pair,dry_high,oesd,0.0002,0.0,55,CHECK主体
big (≥85%),good_hands,ace_high,dry_high,gutshot,5e-05,0.0001,32,CHECK主体
big (≥85%),good_hands,low_pair,dry_high,gutshot,0.0,5e-05,48,CHECK主体
big (≥85%),good_hands,low_pair,dry_high,no_draw,0.0001,0.0003,1478,CHECK主体
big (≥85%),good_hands,low_pair,dry_high,oesd,0.0,2.5e-05,96,CHECK主体
big (≥85%),good_hands,low_pair,dry_high,onecard_bdfd,0.0015,0.005549999999999999,159,CHECK主体
small (≤33%),good_hands,low_pair,dry_high,no_draw,0.0015,0.005900000000000001,77,CHECK主体
big (≥85%),good_hands,second_pair,dry_high,gutshot,0.0001,0.0002,138,CHECK主体
big (≥85%),good_hands,second_pair,dry_high,oesd,0.0001,0.0002,166,CHECK主体
big (≥85%),good_hands,third_pair,dry_high,gutshot,0.0,0.0,104,CHECK主体
big (≥85%),good_hands,third_pair,dry_high,oesd,0.0,0.0002,122,CHECK主体
big (≥85%),good_hands,top_pair,dry_high,gutshot,0.0001,0.0001,123,CHECK主体
big (≥85%),good_hands,top_pair,dry_high,no_draw,0.0002,0.0003,637,CHECK主体
big (≥85%),good_hands,top_pair,dry_high,oesd,0.0001,0.0002,103,CHECK主体
big (≥85%),good_hands,two_pair,dry_high,no_draw,0.0001,0.00030000000000000003,127,CHECK主体
big (≥85%),trash_hands,ace_high,dry_high,gutshot,0.0,0.0002,48,CHECK主体
big (≥85%),trash_hands,ace_high,dry_high,no_draw,0.0001,0.0002,686,CHECK主体
big (≥85%),trash_hands,ace_high,dry_high,oesd,0.0002,0.0002,33,CHECK主体
big (≥85%),trash_hands,king_high,dry_high,no_draw,0.0006,0.0005,313,CHECK主体
big (≥85%),trash_hands,low_pair,dry_high,no_draw,0.0002,0.0003,212,CHECK主体
big (≥85%),trash_hands,no_made_hand,dry_high,combo_draw,0.0023,0.0056,41,CHECK主体
big (≥85%),trash_hands,no_made_hand,dry_high,flush_draw,0.0,0.000375,38,CHECK主体
big (≥85%),trash_hands,no_made_hand,dry_high,oesd,0.0004,0.0019,991,CHECK主体
big (≥85%),weak_hands,ace_high,dry_high,gutshot,0.0001,0.00025,379,CHECK主体
big (≥85%),weak_hands,ace_high,dry_high,oesd,0.0001,0.0002,192,CHECK主体
big (≥85%),weak_hands,king_high,dry_high,gutshot,0.0,0.0003,124,CHECK主体
big (≥85%),weak_hands,low_pair,dry_high,gutshot,5e-05,0.0002,156,CHECK主体
big (≥85%),weak_hands,low_pair,dry_high,no_draw,0.0001,0.0003,2495,CHECK主体
big (≥85%),weak_hands,low_pair,dry_high,oesd,0.0002,0.00030000000000000003,108,CHECK主体
