size_bucket,equity_bucket,mv_cat,board_family,dv_cat,fold_mean,call_mean,raise_mean,n,pred_modal
small (≤33%),best_hands,second_pair,dry_high,flush_draw,0.0,0.9080989795918368,0.09190102040816327,98,CALL
mid (50%),good_hands,ace_high,dry_high,nut_flush_draw,0.0,0.9602625,0.039724999999999996,32,CALL
small (≤33%),good_hands,ace_high,dry_high,onecard_bdfd,8.811881188118812e-05,0.9180564356435644,0.08185049504950495,101,CALL
small (≤33%),good_hands,ace_high,dry_high,twocards_bdfd,5.4166666666666664e-05,0.9753333333333334,0.024605555555555558,72,CALL
small (≤33%),good_hands,king_high,dry_high,nut_flush_draw,0.0,0.86329,0.13671000000000003,70,CALL
mid (50%),good_hands,second_pair,dry_high,no_draw,0.03781295546558704,0.9117008097165992,0.050488461538461545,494,CALL
mid (50%),good_hands,second_pair,dry_high,onecard_bdfd,0.00014068965517241377,0.9340717241379312,0.06578620689655172,145,CALL
mid (50%),good_hands,second_pair,dry_high,twocards_bdfd,8.974358974358975e-05,0.9950897435897437,0.004826923076923077,78,CALL
mid (50%),good_hands,third_pair,dry_high,onecard_bdfd,0.06426451612903226,0.9078623655913979,0.027860215053763442,93,CALL
mid (50%),good_hands,third_pair,dry_high,twocards_bdfd,0.0001201923076923077,0.9832173076923076,0.01666153846153846,104,CALL
mid (50%),good_hands,top_pair,dry_high,twocards_bdfd,7.5949367088607605e-06,0.933746835443038,0.06623544303797468,79,CALL
small (≤33%),good_hands,top_pair,dry_high,no_draw,4.614173228346456e-05,0.9442020472440945,0.055751023622047244,635,CALL
small (≤33%),good_hands,top_pair,dry_high,twocards_bdfd,0.0,0.9458613207547171,0.05413867924528302,106,CALL
mid (50%),good_hands,underpair,dry_high,onecard_bdfd,0.00020666666666666666,0.9986766666666667,0.0011099999999999999,30,CALL
small (≤33%),good_hands,underpair,dry_high,no_draw,1.4611872146118723e-05,0.9102312785388128,0.08975319634703197,438,CALL
small (≤33%),trash_hands,ace_high,dry_high,no_draw,0.9998802721088437,3.1292517006802724e-05,7.959183673469388e-05,147,FOLD
mid (50%),trash_hands,king_high,dry_high,no_draw,0.9999142857142858,5.3061224489795926e-05,3.26530612244898e-05,98,FOLD
small (≤33%),trash_hands,king_high,dry_high,no_draw,0.9994133047210301,0.000376824034334764,0.00019742489270386265,233,FOLD
mid (50%),trash_hands,no_made_hand,dry_high,no_draw,0.9999255863539446,1.5458422174840087e-05,5.5010660980810236e-05,938,FOLD
mid (50%),trash_hands,no_made_hand,dry_high,onecard_bdfd,0.9750088888888889,0.024448444444444443,0.0005422222222222223,225,FOLD
mid (50%),trash_hands,no_made_hand,dry_high,twocards_bdfd,0.971617748917749,0.027806060606060605,0.0005796536796536797,231,FOLD
small (≤33%),trash_hands,no_made_hand,dry_high,no_draw,0.8798273207078547,0.09418498913380938,0.025989382179447375,6442,FOLD
mid (50%),weak_hands,low_pair,dry_high,no_draw,0.9166055555555555,0.08335277777777778,3.3333333333333335e-05,36,FOLD
mid (50%),weak_hands,no_made_hand,dry_high,no_draw,0.8277416083916085,0.12918566433566434,0.043045454545454546,286,FOLD
small (≤33%),weak_hands,third_pair,dry_high,onecard_bdfd,0.00016410256410256412,0.8812435897435896,0.11858333333333333,78,CALL
mid (50%),good_hands,ace_high,dynamic,no_draw,0.9995894736842106,0.0002078947368421053,0.0002,38,FOLD
small (≤33%),good_hands,ace_high,dynamic,gutshot,0.0003134453781512605,0.9702168067226891,0.02946470588235294,119,CALL
mid (50%),good_hands,overpair,dynamic,gutshot,0.0,0.00011388888888888888,0.999886111111111,36,RAISE
mid (50%),good_hands,second_pair,dynamic,twocards_bdfd,0.012663414634146341,0.9533451219512196,0.033997560975609756,82,CALL
small (≤33%),good_hands,second_pair,dynamic,gutshot,0.0002791208791208791,0.9755164835164836,0.02421868131868132,91,CALL
small (≤33%),good_hands,second_pair,dynamic,oesd,0.0,0.9539416666666667,0.04605833333333334,36,CALL
small (≤33%),good_hands,second_pair,dynamic,twocards_bdfd,0.00022307692307692306,0.9993134615384616,0.00045576923076923073,52,CALL
mid (50%),good_hands,third_pair,dynamic,twocards_bdfd,0.000808,0.9813,0.01789,50,CALL
small (≤33%),good_hands,third_pair,dynamic,gutshot,0.11633255813953489,0.8803406976744186,0.0033174418604651162,86,CALL
small (≤33%),good_hands,third_pair,dynamic,oesd,2.0833333333333333e-05,0.9835354166666667,0.016445833333333333,48,CALL
mid (50%),good_hands,top_pair,dynamic,twocards_bdfd,7.790697674418604e-05,0.9065313953488371,0.09338953488372093,86,CALL
