spot_id,source_path,family,depth,n_sizes,primary_size_pot,largest_size_pot,all_sizes
diagnose_Ks7d2c_25,vol3-mtt-postflop/findings/diagnose_Ks7d2c_25.json,mtt,,6,0.202,4.018,"0.20,0.33,0.55,0.83,1.25,4.02"
K72r_7,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_7.json,mtt,,1,0.201,0.201,0.20
Q83_8,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/Q83_8.json,mtt,,1,0.201,0.201,0.20
K98r_7,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K98r_7.json,mtt,,1,1.093,1.093,1.09
K98r_2,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K98r_2.json,mtt,,1,4.569,4.569,4.57
Q83_2,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/Q83_2.json,mtt,,1,1.694,1.694,1.69
K98r_T,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K98r_T.json,mtt,,1,4.569,4.569,4.57
KJT_Q,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/KJT_Q.json,mtt,,1,0.202,0.202,0.20
KJT_9,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/KJT_9.json,mtt,,1,0.202,0.202,0.20
T98r_2,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/T98r_2.json,mtt,,1,1.093,1.093,1.09
T98r_7,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/T98r_7.json,mtt,,1,4.569,4.569,4.57
Q83_A,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/Q83_A.json,mtt,,1,1.694,1.694,1.69
T98r_T,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/T98r_T.json,mtt,,1,4.569,4.569,4.57
K72r_K,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_K.json,mtt,,1,0.201,0.201,0.20
T98r_J,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/T98r_J.json,mtt,,1,1.093,1.093,1.09
K72r_2,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_2.json,mtt,,1,0.201,0.201,0.20
KJT_K,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/KJT_K.json,mtt,,1,0.202,0.202,0.20
Q83_K,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/Q83_K.json,mtt,,1,1.694,1.694,1.69
K98r_K,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K98r_K.json,mtt,,1,0.202,0.202,0.20
K72r_A,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_A.json,mtt,,1,1.694,1.694,1.69
T98r_A,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/T98r_A.json,mtt,,1,1.093,1.093,1.09
K98r_A,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K98r_A.json,mtt,,1,1.093,1.093,1.09
Q83_Q,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/Q83_Q.json,mtt,,1,0.201,0.201,0.20
K72r_8,vol3-mtt-postflop/findings/turn_mtt100_btn_raw/K72r_8.json,mtt,,1,1.694,1.694,1.69
CO_BB_K98_fd,vol3-mtt-postflop/findings/mtt100bb_raw/CO_BB_K98_fd.json,mtt,,1,1.15,1.15,1.15
BTN_BB_KJT_fd,vol3-mtt-postflop/findings/mtt100bb_raw/BTN_BB_KJT_fd.json,mtt,,1,1.088,1.088,1.09
HJ_BB_K98_rain,vol3-mtt-postflop/findings/mtt100bb_raw/HJ_BB_K98_rain.json,mtt,,1,1.156,1.156,1.16
CO_BB_765_fd,vol3-mtt-postflop/findings/mtt100bb_raw/CO_BB_765_fd.json,mtt,,1,0.336,0.336,0.34
HJ_BB_T74_fd,vol3-mtt-postflop/findings/mtt100bb_raw/HJ_BB_T74_fd.json,mtt,,1,1.156,1.156,1.16
UTG_BB_K72_fd,vol3-mtt-postflop/findings/mtt100bb_raw/UTG_BB_K72_fd.json,mtt,,1,0.33,0.33,0.33
UTG_BB_J73_rain,vol3-mtt-postflop/findings/mtt100bb_raw/UTG_BB_J73_rain.json,mtt,,1,1.156,1.156,1.16
CO_BB_K72_rain,vol3-mtt-postflop/findings/mtt100bb_raw/CO_BB_K72_rain.json,mtt,,1,0.336,0.336,0.34
SB_BB_742_rain,vol3-mtt-postflop/findings/mtt100bb_raw/SB_BB_742_rain.json,mtt,,1,0.981,0.981,0.98
CO_BB_742_rain,vol3-mtt-postflop/findings/mtt100bb_raw/CO_BB_742_rain.json,mtt,,1,1.15,1.15,1.15
BTN_BB_742_rain,vol3-mtt-postflop/findings/mtt100bb_raw/BTN_BB_742_rain.json,mtt,,1,1.088,1.088,1.09
