scenario_id,street,position,pot_type,board,board_type,mv_cat,dv_cat,tier,n_combos,bet_pct,best_action
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,fullhouse,no_draw,2P+,9,81.48,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,second_pair,no_draw,アンダーペア,110,63.09,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,second_pair,twocards_bdfd,アンダーペア,22,82.06,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,underpair,no_draw,アンダーペア,6,99.94,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,trips,twocards_bdfd,2P+,11,74.94,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,trips,no_draw,2P+,77,80.11,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,quads,no_draw,2P+,1,77.19,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,no_made_hand,oesd,エア,16,75.36,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,overpair,no_draw,TP+,60,60.15,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,no_made_hand,gutshot,エア,32,73.01,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,no_made_hand,twocards_bdfd,エア,99,57.01,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,no_made_hand,no_draw,エア,429,56.55,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,king_high,twocards_bdfd,エア,27,47.49,CHECK
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,king_high,no_draw,エア,117,27.96,CHECK
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,ace_high,gutshot,エア,32,46.45,CHECK
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,ace_high,twocards_bdfd,エア,24,77.53,BET
BTN_cbet_442_paired,flop,IP,SRP,4s4d2c,paired,ace_high,no_draw,エア,104,43.92,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,set,no_draw,2P+,9,55.96,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,third_pair,oesd,アンダーペア,18,17.62,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,two_pair,no_draw,2P+,24,65.5,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,two_pair,twocards_bdfd,2P+,3,99.49,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,second_pair,oesd,アンダーペア,12,17.77,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,top_pair,oesd,TP+,12,35.88,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,third_pair,gutshot,アンダーペア,24,3.29,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,straight,twocards_bdfd,2P+,6,98.1,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,straight,no_draw,2P+,26,99.97,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,second_pair,gutshot,アンダーペア,24,10.93,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,top_pair,gutshot,TP+,24,86.25,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,overpair,gutshot,TP+,12,100.0,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,third_pair,twocards_bdfd,アンダーペア,14,41.32,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,third_pair,no_draw,アンダーペア,70,13.08,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,no_made_hand,oesd,エア,128,47.98,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,second_pair,no_draw,アンダーペア,70,0.04,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,top_pair,twocards_bdfd,TP+,14,52.79,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,top_pair,no_draw,TP+,70,0.31,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,second_pair,twocards_bdfd,アンダーペア,14,25.53,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,overpair,no_draw,TP+,42,16.35,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,no_made_hand,gutshot,エア,80,33.01,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,no_made_hand,twocards_bdfd,エア,42,0.95,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,no_made_hand,no_draw,エア,182,67.76,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,king_high,oesd,エア,16,67.12,BET
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,king_high,gutshot,エア,16,27.17,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,king_high,twocards_bdfd,エア,18,0.29,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,king_high,no_draw,エア,78,43.49,CHECK
BTN_cbet_542_low,flop,IP,SRP,5d4c2s,wet,ace_high,gutshot,エア,128,11.17,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,set,no_draw,2P+,9,94.92,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,third_pair,no_draw,アンダーペア,124,49.86,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,third_pair,twocards_bdfd,アンダーペア,20,91.89,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,no_made_hand,gutshot,エア,48,71.08,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,no_made_hand,twocards_bdfd,エア,99,42.77,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,no_made_hand,no_draw,エア,429,48.0,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,two_pair,no_draw,2P+,24,81.63,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,second_pair,twocards_bdfd,アンダーペア,20,94.27,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,second_pair,no_draw,アンダーペア,100,44.16,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,two_pair,twocards_bdfd,2P+,3,86.85,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,underpair,no_draw,アンダーペア,36,38.82,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,king_high,twocards_bdfd,エア,27,11.87,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,king_high,no_draw,エア,117,38.69,CHECK
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,top_pair,twocards_bdfd,TP+,20,83.19,BET
BTN_cbet_A72_dry,flop,IP,SRP,As7d2c,dry,top_pair,no_draw,TP+,100,57.08,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,third_pair,no_draw,アンダーペア,66,26.96,CHECK
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,no_made_hand,twocards_bdfd,エア,156,52.18,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,no_made_hand,no_draw,エア,676,35.39,CHECK
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,no_made_hand,gutshot,エア,48,71.23,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,second_pair,no_draw,アンダーペア,110,38.97,CHECK
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,second_pair,twocards_bdfd,アンダーペア,22,48.62,CHECK
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,fullhouse,no_draw,2P+,9,93.95,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,trips,twocards_bdfd,2P+,11,63.53,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,trips,no_draw,2P+,77,52.77,BET
BTN_cbet_AAK_paired,flop,IP,SRP,AsAdKc,paired,quads,no_draw,2P+,1,99.54,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,low_pair,no_draw,アンダーペア,18,28.13,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,no_made_hand,gutshot,エア,64,66.02,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,third_pair,no_draw,アンダーペア,124,44.43,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,third_pair,twocards_bdfd,アンダーペア,20,80.69,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,set,no_draw,2P+,9,96.3,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,no_made_hand,twocards_bdfd,エア,96,43.19,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,no_made_hand,no_draw,エア,416,45.79,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,second_pair,twocards_bdfd,アンダーペア,20,76.84,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,second_pair,no_draw,アンダーペア,100,40.98,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,two_pair,no_draw,2P+,24,79.97,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,two_pair,twocards_bdfd,2P+,3,76.26,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,underpair,no_draw,アンダーペア,18,28.88,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,king_high,twocards_bdfd,エア,21,14.23,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,king_high,no_draw,エア,91,29.19,CHECK
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,king_high,gutshot,エア,32,66.25,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,top_pair,twocards_bdfd,TP+,20,88.14,BET
BTN_cbet_AT5_dry,flop,IP,SRP,AsTd5c,dry,top_pair,no_draw,TP+,100,54.86,BET
BTN_cbet_K72_dry,flop,IP,SRP,Ks7d2c,dry,set,no_draw,2P+,9,95.73,BET
