probe_id,purpose,flop,scenario_type,category,boundary_type,n_drill_cards,action_type,action_name,betsize,betsize_by_pot,total_frequency,total_ev,total_combos,is_allin
bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,4s4d2c,SRP_flop+3BP+4BP,paired_low,paired boundary,0,CHECK,CHECK,0,,0.8389,0.0,986.5151023864746,False
bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,4s4d2c,SRP_flop+3BP+4BP,paired_low,paired boundary,0,RAISE,BET,1.9,0.3333333333333333333333333333,0.1611,0.0,189.48486256599426,False
bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,4s4d2c,SRP_flop+3BP+4BP,paired_low,paired boundary,0,CHECK,CHECK,0,,0.8389,0.0,986.5151023864746,False
bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,4s4d2c,SRP_flop+3BP+4BP,paired_low,paired boundary,0,RAISE,BET,1.9,0.3333333333333333333333333333,0.1611,0.0,189.48486256599426,False
bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,7s4d2c,SRP_flop+3BP+4BP,very_low_dry,low_dry boundary,0,CHECK,CHECK,0,,0.972,0.0,1143.0616292953491,False
bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,7s4d2c,SRP_flop+3BP+4BP,very_low_dry,low_dry boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.028,0.0,32.938401371240616,False
bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,7s4d2c,SRP_flop+3BP+4BP,very_low_dry,low_dry boundary,0,CHECK,CHECK,0,,0.972,0.0,1143.0616292953491,False
bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,7s4d2c,SRP_flop+3BP+4BP,very_low_dry,low_dry boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.028,0.0,32.938401371240616,False
bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,8s6d3h,SRP_flop+3BP+4BP,low_dynamic,low_dry boundary,0,CHECK,CHECK,0,,0.9571,0.0,1125.5389852523804,False
bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,8s6d3h,SRP_flop+3BP+4BP,low_dynamic,low_dry boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0429,0.0,50.46103227138519,False
bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,8s6d3h,SRP_flop+3BP+4BP,low_dynamic,low_dry boundary,0,CHECK,CHECK,0,,0.9571,0.0,1125.5389852523804,False
bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,8s6d3h,SRP_flop+3BP+4BP,low_dynamic,low_dry boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0429,0.0,50.46103227138519,False
bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s6d3c,SRP_flop+3BP+4BP,spread_medium,dynamic vs medium,0,CHECK,CHECK,0,,0.9594,0.0,1128.2065229415894,False
bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s6d3c,SRP_flop+3BP+4BP,spread_medium,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0406,0.0,47.79348582029343,False
bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s6d3c,SRP_flop+3BP+4BP,spread_medium,dynamic vs medium,0,CHECK,CHECK,0,,0.9594,0.0,1128.2065229415894,False
bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s6d3c,SRP_flop+3BP+4BP,spread_medium,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0406,0.0,47.79348582029343,False
bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s7d5c,SRP_flop+3BP+4BP,medium_dynamic,dynamic vs medium,0,CHECK,CHECK,0,,0.9592,0.0,1127.9788541793823,False
bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s7d5c,SRP_flop+3BP+4BP,medium_dynamic,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0408,0.0,48.02116334438324,False
bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s7d5c,SRP_flop+3BP+4BP,medium_dynamic,dynamic vs medium,0,CHECK,CHECK,0,,0.9592,0.0,1127.9788541793823,False
bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s7d5c,SRP_flop+3BP+4BP,medium_dynamic,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0408,0.0,48.02116334438324,False
bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s8d6c,SRP_flop+3BP+4BP,dynamic_oneOff,dynamic vs medium,0,CHECK,CHECK,0,,0.9737,0.0,1145.079035282135,False
bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s8d6c,SRP_flop+3BP+4BP,dynamic_oneOff,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0263,0.0,30.920991003513336,False
bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d6c,SRP_flop+3BP+4BP,dynamic_oneOff,dynamic vs medium,0,CHECK,CHECK,0,,0.9737,0.0,1145.079035282135,False
bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d6c,SRP_flop+3BP+4BP,dynamic_oneOff,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0263,0.0,30.920991003513336,False
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,CHECK,CHECK,0,,0.9401,0.0,1105.591332435608,False
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0599,0.0,70.40870261192322,False
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,CHECK,CHECK,0,,0.9401,0.0,1105.591332435608,False
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0599,0.0,70.40870261192322,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,CHECK,CHECK,0,,0.9473,0.0,1114.0208945274353,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0527,0.0,61.979092329740524,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,CHECK,CHECK,0,,0.9473,0.0,1114.0208945274353,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0527,0.0,61.979092329740524,False
