purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,4s4d2c,bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.8389,0.0,986.5151023864746
boundary_or_bb_oop,BB,4s4d2c,bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,1.9,0.3333333333333333333333333333,False,0.1611,0.0,189.48486256599426
boundary_or_bb_oop,BB,4s4d2c,bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.8389,0.0,986.5151023864746
boundary_or_bb_oop,BB,4s4d2c,bound_4s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,1.9,0.3333333333333333333333333333,False,0.1611,0.0,189.48486256599426
boundary_or_bb_oop,BB,7s4d2c,bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.972,0.0,1143.0616292953491
boundary_or_bb_oop,BB,7s4d2c,bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.028,0.0,32.938401371240616
boundary_or_bb_oop,BB,7s4d2c,bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.972,0.0,1143.0616292953491
boundary_or_bb_oop,BB,7s4d2c,bound_7s4d2c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.028,0.0,32.938401371240616
boundary_or_bb_oop,BB,8s6d3h,bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9571,0.0,1125.5389852523804
boundary_or_bb_oop,BB,8s6d3h,bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0429,0.0,50.46103227138519
boundary_or_bb_oop,BB,8s6d3h,bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9571,0.0,1125.5389852523804
boundary_or_bb_oop,BB,8s6d3h,bound_8s6d3h_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0429,0.0,50.46103227138519
boundary_or_bb_oop,BB,9s6d3c,bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9594,0.0,1128.2065229415894
boundary_or_bb_oop,BB,9s6d3c,bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0406,0.0,47.79348582029343
boundary_or_bb_oop,BB,9s6d3c,bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9594,0.0,1128.2065229415894
boundary_or_bb_oop,BB,9s6d3c,bound_9s6d3c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0406,0.0,47.79348582029343
boundary_or_bb_oop,BB,9s7d5c,bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9592,0.0,1127.9788541793823
boundary_or_bb_oop,BB,9s7d5c,bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0408,0.0,48.02116334438324
boundary_or_bb_oop,BB,9s7d5c,bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9592,0.0,1127.9788541793823
boundary_or_bb_oop,BB,9s7d5c,bound_9s7d5c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0408,0.0,48.02116334438324
boundary_or_bb_oop,BB,9s8d6c,bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9737,0.0,1145.079035282135
boundary_or_bb_oop,BB,9s8d6c,bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0263,0.0,30.920991003513336
